jlemmagen,"Optimal alpha = 0.99, Optimal epsilon = 0.96"
,"Unique Traces = 1967, Time = 126.869 s"
almson-refcount,"Optimal alpha = 0.51, Optimal epsilon = 0.75"
,"Unique Traces = 27, Time = 44.093 s"
TurkishDeasciifier,"Optimal alpha = 0.97, Optimal epsilon = 0.07"
,"Unique Traces = 5298, Time = 1980.206 s"
route53-infima,"Optimal alpha = 0.99, Optimal epsilon = 0.71"
,"Unique Traces = 844, Time = 56.599 s"
functional-utils,"Optimal alpha = 0.01, Optimal epsilon = 0.01"
,"Unique Traces = 919, Time = 44.846 s"
javadbf,"Optimal alpha = 0.01, Optimal epsilon = 0.02"
,"Unique Traces = 272, Time = 48.749 s"
TurkishPropBank,"Optimal alpha = 0.11, Optimal epsilon = 0.78"
,"Unique Traces = 97, Time = 76.57 s"
xeger,"Optimal alpha = 0.99, Optimal epsilon = 0.10"
,"Unique Traces = 2559, Time = 121.089 s"
jackson-antpathfilter,"Optimal alpha = 0.01, Optimal epsilon = 0.19"
,"Unique Traces = 459, Time = 80.996 s"
uuid-creator,"Optimal alpha = 0.99, Optimal epsilon = 0.80"
,"Unique Traces = 212, Time = 94.358 s"
ef-redis,"Optimal alpha = 0.22, Optimal epsilon = 0.14"
,"Unique Traces = 83, Time = 40.164 s"
gramtest,"Optimal alpha = 0.99, Optimal epsilon = 0.77"
,"Unique Traces = 1087, Time = 160.087 s"
TurkishSentiNet,"Optimal alpha = 0.40, Optimal epsilon = 0.02"
,"Unique Traces = 34, Time = 83.219 s"
consistent-hash-algo..,"Optimal alpha = 0.90, Optimal epsilon = 0.22"
,"Unique Traces = 31, Time = 111.83 s"
rtree2,"Optimal alpha = 0.01, Optimal epsilon = 0.14"
,"Unique Traces = 1736, Time = 107.228 s"
progex,"Optimal alpha = 0.96, Optimal epsilon = 0.83"
,"Unique Traces = 38092, Time = 135.344 s"
ik-analyzer,"Optimal alpha = 0.27, Optimal epsilon = 0.09"
,"Unique Traces = 936, Time = 102.449 s"
java-uuid-generator,"Optimal alpha = 0.08, Optimal epsilon = 0.94"
,"Unique Traces = 135, Time = 80.444 s"
AnomalyDetectTool,"Optimal alpha = 0.99, Optimal epsilon = 0.01"
,"Unique Traces = 692, Time = 90.083 s"
jieba-analysis,"Optimal alpha = 0.59, Optimal epsilon = 0.99"
,"Unique Traces = 863, Time = 124.796 s"
cocolian-nlp,"Optimal alpha = 0.99, Optimal epsilon = 0.97"
,"Unique Traces = 33561, Time = 197.986 s"
java-concurrent-hash..,"Optimal alpha = 0.22, Optimal epsilon = 0.01"
,"Unique Traces = 2410, Time = 115.603 s"
rtree-multi,"Optimal alpha = 0.14, Optimal epsilon = 0.89"
,"Unique Traces = 17355, Time = 181.619 s"
time-series-math,"Optimal alpha = 0.99, Optimal epsilon = 0.01"
