ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,566,0,0,0,0,2,5554,
AnomalyDetectTool,2399,209,1171,0,593,2246,328,
ASM-NonClassloadingExtensions,8194,570,2150,0,7435,7610,2531,
asterisk-java,15073,6298,654,0,21461,5124,419,
attoparser,2227,7143,6684,0,37272,12775,11038,
bplustree,1137,815,4120,0,8254,16389,3329,
btree4j,1559,350,2583,0,5570,8284,2507,
cassette-nibbler,1863,3530,3237,0,34473,679,13241,
choco-graph,3289,834,3656,0,7237,3172,2441,
cocolian-nlp,2968,469,1412,0,7668,2238,3808,
consistent-hash-algorithm,1276,1652,789,0,7484,617,2970,
CoreNLP,33789,3927127,12599,0,31182,9603,11281,
databuilderframework,6040,812,4018,0,19070,21831,6149,
dictomaton,2655,1925,1620,0,13679,1631,7125,
ef-redis,1675,209,315,0,4982,66,4376,
finmath-lib,1111,10,5,0,0,124,91,
functional-utils,3452,9035,120,0,95,44411,78,
Fuzzino,4939,329,257,0,3120,1962,514,
geogrid,1222,918,2062,0,936,5704,751,
gramtest,2246,463,1248,0,7735,281,2935,
ik-analyzer,1202,379,849,0,8790,1571,5803,
Jaba,1330,1477,2932,0,7766,782,4698,
jackcess,4433,10,7,0,3,43,29019,
jackson-antpathfilter,3435,8,6,0,1,11700,2079,
jackson-core,4233,240,1961,0,4204,5776,2290,
JaroWinklerSimilarity,1793,5956,8982,0,29566,4347,13401,
java-concurrent-hash-trie-map,1004,122,998,0,364,1528,88,
javadbf,1126,20,509,0,575,379,212,
java-future-jdk8,994,29641,223260,0,6848,150313,57,
java.math.expression.parser,772,7209,5096,0,32565,1733,12053,
java-uuid-generator,644,59,194,0,2553,742,2116,
java-vector-tile,4060,424,1650,0,5485,1754,2519,
jcunit,5128,10501,6281,0,45343,2256,15169,
jieba-analysis,1131,452,1308,0,6513,1190,3905,
jlemmagen,686,11634,44,0,200,22446,75,
jpoker,4971,4565,404,0,9801,867,6238,
json-rules,6219,2112521,847,0,15664,2021,1619,
kiara,4760,1926,7490,0,2287,4926,472,
orientdb-etl,12724,5071209,280370,0,45321,86443,40178,
orientdb-jdbc,12513,25527,4530,0,61139,7872,20791,
osm-lib,5118,585,2514,0,2944,2186,2503,
pgs-calc,5362,64,338,0,3150,17624,3915,
PointCloudUtilities,2545,469,1509,0,1250,1682,508,
progex,4458,448,605,0,5958,572,2477,
QLExpress,8521,2933,2785,0,32575,3682,10869,
route53-infima,1553,245,237,0,3116,277,110,
rtree2,9413,3410,1317,0,6497,12814,5099,
rtree-multi,9090,4019,1250,0,8638,12246,5186,
rtree,10665,3756,4019,0,22388,12834,12456,
sensitive-word,2807,5590,4707,0,18268,2916,8537,
simplexml,239259,3438,2644,0,152892,5903,9046,
SparseBitSet,746,78648,1480,0,48133,2858,80,
stringsearchalgorithms,3934,1548,2742,0,15429,2996,7536,
time-series-math,9247,206,2805,0,4824,3358,342,
TurkishDeasciifier,1722,632642,136,0,372,281,6457,
TurkishMorphologicalDisambiguation,1636,950487,5804,0,49792,7691,31964,
TurkishPropBank,879,698,252,0,4515,210,2029,
TurkishSentiNet,780,248,343,0,7480,385,3583,
TurkishSpellChecker,1963,1915269,1936,0,5021,3185,18943,
TurkishWordNet,1617,3715,4222,0,194788,22478,49928,
uuid-creator,1549,505,25,0,47,5936,188,
vowpal-wabbit-java,1726,13996,7053,0,35763,14384,14865,
xeger,1558,234,532,0,3315,904,746,
