ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,511,0,0,0,0,2,4224,
AnomalyDetectTool,1505,122,2285,8,334,2460,223,
ASM-NonClassloadingExtensions,8194,694,2909,105,3070,8149,1458,
asterisk-java,14118,253,902,61,315,5045,310,
attoparser,4032,4382,10841,202,12588,9266,3167,
bplustree,1189,472,13431,40,586,15682,115,
btree4j,2090,418,4247,128,670,8830,385,
cassette-nibbler,1093,1072,7170,49,2078,919,153,
choco-graph,2993,763,7642,143,3873,3311,708,
cocolian-nlp,2689,597,3082,89,3919,2020,1757,
consistent-hash-algorithm,1257,113,1926,25,332,553,66,
databuilderframework,6244,1467,6894,315,12170,21415,3378,
dictomaton,2592,1204,3472,216,9001,1472,4107,
ef-redis,1879,230,816,27,305,83,1694,
finmath-lib,1164,8,6,80,1,129,91,
functional-utils,3667,18,235,6,45,208,105,
Fuzzino,4812,1298,1517,110,1367,1666,166,
geogrid,759,764,4069,12,589,6167,894,
gramtest,2412,563,2324,145,3359,278,1193,
ik-analyzer,1142,459,1793,75,4412,1510,2024,
Jaba,1312,650,4417,88,4333,1400,2632,
jackcess,4895,7,13,9,3,41,20734,
jackson-antpathfilter,3562,9,9,27,0,11409,829,
jackson-core,5042,417,2819,77,467,5591,722,
JaroWinklerSimilarity,1423,2426,12326,530,13428,4121,3714,
java-concurrent-hash-trie-map,1105,150,1741,18,385,1815,87,
javadbf,621,5,9,0,1,0,85,
java-future-jdk8,818,4675,284917,15,14858,101204,3515,
java.math.expression.parser,636,544,6172,56,2476,1901,91,
java-uuid-generator,914,158,776,38,168,491,999,
java-vector-tile,3697,626,3510,35,2809,1601,1297,
jcunit,5554,4797,15633,555,26249,2027,9094,
jieba-analysis,949,468,2519,128,3765,1136,1542,
jlemmagen,1049,2386,104,13,37,7597,69,
jpoker,5011,210,2148,40,760,700,268,
kiara,4496,918,8935,60,2920,3435,271,
orientdb-jdbc,11978,26422,13602,466,32579,8718,13481,
osm-lib,5271,227,3547,52,673,2166,581,
pgs-calc,5543,370,992,61,715,16932,239,
PointCloudUtilities,2375,430,2510,51,418,1481,116,
progex,4619,597,1185,77,2487,616,790,
QLExpress,6828,5762,6203,286,16884,3660,5369,
route53-infima,1073,187,578,43,1150,209,328,
rtree2,9348,289,1583,51,2264,1504,1074,
rtree-multi,8599,469,2296,33,3068,1771,1539,
rtree,10576,560,3641,53,4911,2478,2897,
sensitive-word,1869,1547,9714,61,5167,2515,1304,
simplexml,7760,78778,6204,563,15721,4793,5450,
SparseBitSet,594,123541,1861,16,58,1738,84,
stringsearchalgorithms,3707,783,4102,215,5201,3341,1240,
time-series-math,9475,306,4677,49,2739,3513,382,
TurkishDeasciifier,1793,212048,245,19,227,291,2306,
TurkishMorphologicalDisambiguation,1739,217471,11619,258,10870,6812,4612,
TurkishPropBank,917,228,592,64,666,263,116,
TurkishSentiNet,792,291,1195,39,370,426,114,
TurkishSpellChecker,1988,209469,3658,107,2846,3207,4138,
TurkishWordNet,1641,5212,14864,479,11324,22197,1924,
uuid-creator,1634,512,50,10,9,6655,202,
vowpal-wabbit-java,1731,1652,12863,95,5650,14683,1303,
xeger,1507,236,1360,77,784,839,187,
