ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,507,0,0,0,0,2,4507,
AnomalyDetectTool,1605,213,2131,7,715,2450,469,
ASM-NonClassloadingExtensions,8384,1178,3176,123,4705,8498,1550,
asterisk-java,14376,157,813,17,425,5111,366,
attoparser,2843,7391,12706,395,18300,11278,3311,
bplustree,1218,1203,12562,40,1237,14148,134,
btree4j,2111,756,3799,29,1138,9267,504,
cassette-nibbler,1090,2152,6941,81,4457,915,100,
choco-graph,3366,1008,7289,62,4142,3227,596,
cocolian-nlp,3106,863,3090,179,4826,1936,1703,
consistent-hash-algorithm,1309,491,1756,41,818,602,70,
CoreNLP,34532,3335743,12091,137,23655,9675,7206,
databuilderframework,6035,1641,7538,236,14803,22126,3645,
dictomaton,2547,1924,3436,144,10469,1478,4326,
ef-redis,1927,430,878,40,451,97,1785,
finmath-lib,1135,11,10,0,1,130,97,
functional-utils,3513,19,178,1,68,204,104,
Fuzzino,5442,1728,2791,2,1149,1999,186,
geogrid,784,820,3237,16,743,5940,1128,
gramtest,2363,1165,2385,240,4934,299,1324,
ik-analyzer,1196,814,2219,42,6199,1499,2109,
Jaba,1471,1245,4296,59,5542,1590,3107,
jackcess,4846,4,11,0,3,53,23719,
jackson-antpathfilter,3601,12,8,0,3,11463,971,
jackson-core,5317,310,2949,24,1314,5376,514,
JaroWinklerSimilarity,1447,5519,13252,328,18998,3956,4607,
java-concurrent-hash-trie-map,1126,61,1836,2,314,2006,72,
javadbf,1127,138,2236,1,276,217,258,
java-future-jdk8,853,1321,345949,6,12880,106066,4144,
java.math.expression.parser,743,3805,3763,537,4730,2142,81,
java-uuid-generator,949,161,827,14,369,461,1043,
java-vector-tile,3768,695,3553,41,4447,1609,1725,
jcunit,4968,5306,16191,953,34204,2072,9183,
jieba-analysis,1159,1228,2783,85,4061,1061,1557,
jlemmagen,1077,2445,108,3,73,7643,142,
jpoker,4945,651,2675,19,1975,758,252,
json-rules,42698,1063699,4151,228,307520,1521,766,
kiara,4625,1018,9626,179,3247,2485,326,
orientdb-etl,12370,4535196,277735,476,27864,62709,23374,
orientdb-jdbc,11869,23994,15015,289,40646,8103,12557,
osm-lib,5342,201,3571,20,1317,2301,701,
pgs-calc,5390,387,1166,15,835,16207,437,
PointCloudUtilities,2617,517,2664,35,429,1309,112,
progex,4574,1154,1554,112,3146,618,914,
QLExpress,5833,7050,5713,146,21836,3668,6748,
route53-infima,1164,322,543,27,1802,226,762,
rtree2,9474,493,1927,57,3401,1503,1616,
rtree-multi,8907,825,2217,78,4100,1815,1619,
rtree,10640,1476,3491,196,7167,2364,3135,
sensitive-word,1873,1686,9623,87,8838,2711,1372,
simplexml,8289,462603,8702,612,26028,6114,5823,
SparseBitSet,589,86155,1724,2,49,1641,85,
stringsearchalgorithms,3807,1210,5092,292,6459,3489,1247,
time-series-math,9059,268,3839,143,3282,3444,416,
TurkishDeasciifier,1871,213894,235,3,256,289,2255,
TurkishMorphologicalDisambiguation,2029,237354,15788,246,13168,7285,5331,
TurkishPropBank,906,304,817,19,959,256,125,
TurkishSentiNet,490,561,1275,66,497,424,108,
TurkishSpellChecker,2073,224934,3936,82,4228,3275,4330,
TurkishWordNet,1564,6976,17723,1169,18126,23946,1957,
uuid-creator,1403,602,54,6,16,6861,245,
vowpal-wabbit-java,1756,9468,13400,257,15141,15483,1536,
xeger,1548,697,1461,66,1585,914,191,
