ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,379,0,0,0,0,2,3920,
AnomalyDetectTool,2180,311,2338,5,1119,3585,185,
ASM-NonClassloadingExtensions,8423,1599,5162,107,7102,9378,4025,
asterisk-java,14882,2494,1047,503,17763,5455,40781,
attoparser,7197,10592,21644,246,17104,12783,33414,
bplustree,1176,1268,12882,283,3173,14020,12726,
btree4j,2414,1221,7595,53,4995,9178,18948,
cassette-nibbler,1477,1858,21905,42,5670,1212,12119,
choco-graph,3324,4866,12075,525,33844,3274,143903,
cocolian-nlp,3282,1706,4998,67,6158,2565,4199,
consistent-hash-algorithm,1008,651,5949,26,4533,1027,3361,
databuilderframework,6546,1322,8258,55,15172,21488,5671,
dictomaton,2875,1710,6879,221,12539,1188,7063,
ef-redis,1530,466,2042,37,796,87,2830,
functional-utils,3586,108,329,7,466,221,1066,
Fuzzino,5365,350,6072,13,859,974,1054,
geogrid,1017,219,1801,20,716,18187,1040,
gramtest,2487,1089,3348,163,3319,366,1914,
ik-analyzer,973,698,4040,83,5377,1599,4013,
Jaba,1573,1070,5441,94,4847,1084,4395,
jackcess,4364,8,10,9,7,55,35608,
jackson-antpathfilter,4184,8,8,10,9,12851,1592,
jackson-core,4682,1534,3272,66,3383,5762,8903,
JaroWinklerSimilarity,1886,3975,22810,286,4816,2335,14937,
java-concurrent-hash-trie-map,897,1755,2273,18,10563,5603,5800,
javadbf,1014,88,2153,6,56,285,197,
java-future-jdk8,1086,2313,288449,11,8738,98130,3456,
java.math.expression.parser,818,5523,14435,1630,7081,2998,34723,
java-uuid-generator,994,299,1894,17,1416,628,9339,
java-vector-tile,5334,2304,6146,67,11465,1674,109717,
jcunit,9961,9616,35175,340,52658,3321,32075,
jieba-analysis,1047,1596,3808,250,5361,1111,5326,
jlemmagen,1020,50,100,12,143,152,184,
jpoker,4952,795,6706,255,1336,618,13944,
kiara,4534,1404,10208,71,9074,2341,2164,
orientdb-jdbc,14438,109542,37289,367,464598,13045,122532,
osm-lib,5339,716,5020,59,3783,3024,6208,
pgs-calc,5587,316,1308,354,1280,16247,3868,
PointCloudUtilities,2813,2289,2971,36,9855,1837,2689,
progex,5072,1036,2156,81,3392,645,1663,
QLExpress,9353,14341,12599,95,48344,3427,103547,
route53-infima,1362,289,1182,14,1721,196,890,
rtree2,9956,574,2445,75,2955,1399,1958,
rtree-multi,9176,930,3306,125,3793,1695,3076,
rtree,11312,1808,5569,90,5389,1821,5014,
sensitive-word,1789,1759,17799,175,8361,2006,5589,
SparseBitSet,10701,42252,1716,11,268671,1411,134213,
stringsearchalgorithms,4563,1317,11212,155,8419,3719,9303,
time-series-math,8596,1304,5494,46,9563,2379,6536,
TurkishDeasciifier,1919,99,289,27,485,326,202,
TurkishPropBank,633,151,2409,23,524,244,2758,
TurkishSentiNet,559,977,2737,127,1080,400,3547,
TurkishSpellChecker,1956,1699,5626,64,6928,3189,17150,
uuid-creator,1770,42,77,7,120,8534,290,
vowpal-wabbit-java,1682,4317,36983,375,7972,17233,46136,
xeger,1315,312,2075,96,1199,883,565,
