ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,359,1,1,0,0,2,3807,
AnomalyDetectTool,2054,664,2577,8,1565,3646,4068,
ASM-NonClassloadingExtensions,8311,2737,5531,222,10749,8409,4319,
asterisk-java,16348,28241,15433,1,53955,5808,344741,
attoparser,7143,9219,23462,355,25892,12915,29358,
bplustree,1147,800,17378,42,3050,14098,12231,
btree4j,1973,1944,7945,18,5043,9323,23068,
cassette-nibbler,1633,2065,22158,91,3331,1362,8532,
choco-graph,3584,3238,12220,238,19604,3011,92714,
cocolian-nlp,3079,2098,5576,334,7621,2430,4010,
consistent-hash-algorithm,1638,748,5588,15,4757,707,3405,
databuilderframework,6591,3770,8521,160,16541,22898,6582,
dictomaton,2238,3743,7680,373,16766,1301,7537,
ef-redis,1535,260,3063,13,323,84,3720,
finmath-lib,954,11,6,0,3,2,95,
functional-utils,3630,94,243,0,396,184,1349,
Fuzzino,5763,10316,841,84,161819,2311,1244,
geogrid,958,390,1951,20,1412,16789,8129,
gramtest,2416,2216,3873,127,4727,261,1974,
ik-analyzer,1054,1760,4183,61,6791,1733,3877,
Jaba,1527,1547,5626,188,5758,1133,4727,
jackcess,4536,10,18,0,6,49,40515,
jackson-antpathfilter,4184,11,15,1,15,12737,1785,
jackson-core,4603,1824,3459,17,7244,5778,8594,
JaroWinklerSimilarity,1756,24507,24102,268,65934,3007,26127,
java-concurrent-hash-trie-map,848,1552,2111,25,9745,6146,6834,
javadbf,993,80,2228,2,61,296,195,
java-future-jdk8,1647,22168,288720,11,177247,103846,4751,
java.math.expression.parser,849,2704,28707,270,1330,2652,55742,
java-uuid-generator,898,324,1854,32,1212,514,9879,
java-vector-tile,4216,1490,4861,104,11566,1473,40028,
jcunit,8968,13147,39534,178,62810,3618,34341,
jieba-analysis,1249,1747,4114,59,5849,1178,4857,
jlemmagen,1053,36,151,3,205,134,135,
jpoker,6191,1599,6665,66,1905,840,7638,
kiara,4284,1934,11917,103,12799,2415,3113,
orientdb-jdbc,14127,171891,36727,3025,688964,14381,127459,
osm-lib,5131,1233,4455,32,5833,2777,5255,
pgs-calc,5301,845,2272,29,4317,21505,11901,
PointCloudUtilities,2656,1985,4289,59,15326,1679,3050,
progex,4690,2179,2626,148,4620,756,2541,
QLExpress,6430,16586,15582,80,54091,3510,76584,
route53-infima,1361,426,1380,28,2135,205,1392,
rtree2,9693,1402,2474,152,3097,1421,1673,
rtree-multi,9602,1939,3437,99,3805,1622,1967,
rtree,11639,3535,6348,291,13931,2059,9377,
sensitive-word,1868,2214,20896,695,8929,2061,8137,
SparseBitSet,13414,45576,1748,4,246334,1519,132757,
stringsearchalgorithms,4561,2434,9778,278,9786,3874,7224,
time-series-math,9152,363,5254,48,5047,2384,1342,
TurkishDeasciifier,1879,351,413,10,1373,299,487,
TurkishPropBank,749,235,2447,14,601,279,2413,
TurkishSentiNet,548,562,3875,16,836,415,3613,
TurkishSpellChecker,2264,2475,5676,62,14463,3305,18151,
uuid-creator,1674,37,99,1,165,8541,277,
vowpal-wabbit-java,1747,12080,25448,2738,23934,17408,30605,
xeger,1259,780,2134,54,2292,1009,969,
