Unique traces distribution:
--------------------------------
1: 16086 (68.66%)
2: 2140 (9.13%)
3: 1292 (5.51%)
4: 844 (3.60%)
5: 419 (1.79%)
6: 382 (1.63%)
7: 300 (1.28%)
8: 249 (1.06%)
9: 191 (0.82%)
10: 125 (0.53%)
11: 98 (0.42%)
12: 92 (0.39%)
13: 82 (0.35%)
14: 67 (0.29%)
15: 61 (0.26%)
16: 33 (0.14%)
17: 31 (0.13%)
18: 21 (0.09%)
19: 23 (0.10%)
20: 35 (0.15%)
21: 17 (0.07%)
22: 16 (0.07%)
23: 27 (0.12%)
24: 18 (0.08%)
25: 27 (0.12%)
26: 11 (0.05%)
27: 16 (0.07%)
28: 30 (0.13%)
29: 11 (0.05%)
30: 26 (0.11%)
31: 16 (0.07%)
32: 20 (0.09%)
33: 9 (0.04%)
34: 30 (0.13%)
35: 22 (0.09%)
36: 21 (0.09%)
37: 14 (0.06%)
38: 9 (0.04%)
39: 11 (0.05%)
40: 22 (0.09%)
41: 7 (0.03%)
42: 13 (0.06%)
43: 13 (0.06%)
44: 7 (0.03%)
45: 1 (0.00%)
46: 5 (0.02%)
47: 8 (0.03%)
48: 3 (0.01%)
49: 9 (0.04%)
51: 3 (0.01%)
52: 5 (0.02%)
53: 3 (0.01%)
54: 1 (0.00%)
55: 5 (0.02%)
56: 7 (0.03%)
57: 4 (0.02%)
58: 4 (0.02%)
59: 3 (0.01%)
60: 2 (0.01%)
61: 2 (0.01%)
62: 4 (0.02%)
63: 6 (0.03%)
64: 3 (0.01%)
65: 4 (0.02%)
66: 2 (0.01%)
67: 3 (0.01%)
68: 1 (0.00%)
69: 2 (0.01%)
70: 9 (0.04%)
71: 2 (0.01%)
73: 5 (0.02%)
74: 1 (0.00%)
75: 3 (0.01%)
76: 2 (0.01%)
77: 1 (0.00%)
78: 6 (0.03%)
79: 5 (0.02%)
80: 5 (0.02%)
81: 2 (0.01%)
83: 3 (0.01%)
84: 6 (0.03%)
85: 2 (0.01%)
86: 1 (0.00%)
87: 4 (0.02%)
88: 3 (0.01%)
89: 2 (0.01%)
90: 1 (0.00%)
91: 12 (0.05%)
94: 3 (0.01%)
95: 3 (0.01%)
96: 1 (0.00%)
97: 2 (0.01%)
98: 6 (0.03%)
99: 13 (0.06%)
100: 16 (0.07%)
101: 1 (0.00%)
103: 1 (0.00%)
104: 2 (0.01%)
105: 4 (0.02%)
106: 1 (0.00%)
107: 6 (0.03%)
108: 1 (0.00%)
109: 3 (0.01%)
110: 2 (0.01%)
114: 3 (0.01%)
116: 3 (0.01%)
118: 2 (0.01%)
119: 1 (0.00%)
124: 2 (0.01%)
126: 1 (0.00%)
127: 1 (0.00%)
130: 3 (0.01%)
132: 1 (0.00%)
134: 1 (0.00%)
135: 4 (0.02%)
136: 1 (0.00%)
137: 1 (0.00%)
139: 2 (0.01%)
141: 9 (0.04%)
145: 1 (0.00%)
150: 1 (0.00%)
151: 2 (0.01%)
160: 1 (0.00%)
161: 1 (0.00%)
162: 1 (0.00%)
166: 1 (0.00%)
171: 1 (0.00%)
173: 4 (0.02%)
174: 1 (0.00%)
176: 1 (0.00%)
177: 1 (0.00%)
179: 1 (0.00%)
181: 3 (0.01%)
182: 2 (0.01%)
193: 1 (0.00%)
198: 2 (0.01%)
199: 1 (0.00%)
211: 1 (0.00%)
213: 5 (0.02%)
214: 3 (0.01%)
215: 1 (0.00%)
220: 1 (0.00%)
222: 1 (0.00%)
226: 1 (0.00%)
233: 1 (0.00%)
235: 1 (0.00%)
236: 1 (0.00%)
243: 1 (0.00%)
245: 1 (0.00%)
246: 3 (0.01%)
254: 1 (0.00%)
261: 1 (0.00%)
262: 1 (0.00%)
263: 2 (0.01%)
277: 1 (0.00%)
278: 1 (0.00%)
300: 1 (0.00%)
301: 5 (0.02%)
302: 3 (0.01%)
303: 6 (0.03%)
307: 1 (0.00%)
320: 1 (0.00%)
329: 2 (0.01%)
333: 3 (0.01%)
334: 1 (0.00%)
371: 13 (0.06%)
372: 1 (0.00%)
382: 1 (0.00%)
418: 1 (0.00%)
429: 1 (0.00%)
430: 1 (0.00%)
444: 1 (0.00%)
449: 1 (0.00%)
452: 1 (0.00%)
458: 1 (0.00%)
468: 1 (0.00%)
470: 1 (0.00%)
489: 3 (0.01%)
497: 1 (0.00%)
499: 3 (0.01%)
533: 1 (0.00%)
537: 1 (0.00%)
