Appendable_ThreadSafe @ Analyzer.java:290: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ Analyzer.java:294: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ AuxiliaryType.java:103: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ BasicInterpreter.java:248: 1 Unique Traces, 127151 Redundant Traces, 1 Preserved, 6326 Remained 
Appendable_ThreadSafe @ BasicVerifier.java:362: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BasicVerifier.java:401: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CanCalculateFramesForEveryJdkRuntimeClassTest.java:29: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ClassReader.java:286: 1 Unique Traces, 2425825 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ FieldAccessor.java:357: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Frame.java:176: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Frame.java:662: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Frame.java:722: 2 Unique Traces, 37 Redundant Traces, 2 Preserved, 18 Remained 
Appendable_ThreadSafe @ Implementation.java:986: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ Implementation.java:1158: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ MethodCallProxy.java:145: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ MethodDescription.java:451: 4 Unique Traces, 66 Redundant Traces, 2 Preserved, 5 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:201: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ NamingStrategy.java:203: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ RandomString.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ResourceFinder.java:46: 1 Unique Traces, 3907 Redundant Traces, 1 Preserved, 200 Remained 
Appendable_ThreadSafe @ ResourceFinder.java:51: 1 Unique Traces, 79539 Redundant Traces, 1 Preserved, 3888 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:117: 4 Unique Traces, 18 Redundant Traces, 4 Preserved, 18 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:126: 2 Unique Traces, 22 Redundant Traces, 2 Preserved, 22 Remained 
Appendable_ThreadSafe @ SignatureWriter.java:158: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 4 Remained 
Appendable_ThreadSafe @ SimpleVerifier.java:162: 3 Unique Traces, 623835 Redundant Traces, 1 Preserved, 29999 Remained 
Appendable_ThreadSafe @ SimpleVerifier.java:278: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ Type.java:509: 1 Unique Traces, 124828 Redundant Traces, 1 Preserved, 6353 Remained 
Appendable_ThreadSafe @ Type.java:548: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ Type.java:582: 6 Unique Traces, 20 Redundant Traces, 3 Preserved, 3 Remained 
Appendable_ThreadSafe @ Type.java:606: 12 Unique Traces, 179 Redundant Traces, 3 Preserved, 18 Remained 
Appendable_ThreadSafe @ Type.java:634: 75 Unique Traces, 8257 Redundant Traces, 75 Preserved, 8257 Remained 
Appendable_ThreadSafe @ Type.java:642: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 23 Remained 
