Appendable_ThreadSafe @ DisplayTool.java:15: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DisplayTool.java:19: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ FileTool.java:32: 1 Unique Traces, 4319 Redundant Traces, 1 Preserved, 221 Remained 
Appendable_ThreadSafe @ GrubbsTool.java:39: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ HoltWintersTool.java:84: 1 Unique Traces, 427 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ HoltWintersTool.java:115: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ JsonReader.java:1013: 1 Unique Traces, 21467 Redundant Traces, 1 Preserved, 1112 Remained 
Appendable_ThreadSafe @ JsonReader.java:1028: 1 Unique Traces, 131 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ LOFDetectTool.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AlphabetTreeNode.java:54: 12 Unique Traces, 3193 Redundant Traces, 3 Preserved, 151 Remained 
Collection_UnsafeIterator @ AlphabetTreeNode.java:63: 307 Unique Traces, 34 Redundant Traces, 307 Preserved, 34 Remained 
Collection_UnsafeIterator @ DisplayTool.java:14: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 6 Remained 
Collection_UnsafeIterator @ DisplayTool.java:18: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 6 Remained 
Collection_UnsafeIterator @ Excluder.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Gson.java:358: 4 Unique Traces, 56 Redundant Traces, 4 Preserved, 17 Remained 
Collection_UnsafeIterator @ HeuristicTool.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ IsolationForest.java:51: 1 Unique Traces, 400459 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsynchronizedAddAll @ Gson.java:204: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ AlphabetTree.java:23: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ AlphabetTree.java:26: 12 Unique Traces, 5 Redundant Traces, 12 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ArrayTypeAdapter.java:73: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ BruteForceTool.java:44: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ESDTool.java:44: 33 Unique Traces, 683 Redundant Traces, 33 Preserved, 683 Remained 
Collections_SortBeforeBinarySearch @ GrubbsTool.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Gson.java:197: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ HeuristicTool.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HeuristicTool.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HoltWintersTool.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ IsolationForest.java:39: 1 Unique Traces, 101 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ IsolationTreeTool.java:49: 6 Unique Traces, 96 Redundant Traces, 4 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ ItemsTest.java:21: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ItemsTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LOF.java:59: 2 Unique Traces, 56799 Redundant Traces, 2 Preserved, 2915 Remained 
Iterator_HasNext @ AlphabetTreeNode.java:54: 6 Unique Traces, 3199 Redundant Traces, 2 Preserved, 176 Remained 
Iterator_HasNext @ AlphabetTreeNode.java:63: 107 Unique Traces, 234 Redundant Traces, 107 Preserved, 234 Remained 
Iterator_HasNext @ DisplayTool.java:14: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 5 Remained 
Iterator_HasNext @ DisplayTool.java:18: 5 Unique Traces, 6 Redundant Traces, 5 Preserved, 6 Remained 
Iterator_HasNext @ Excluder.java:206: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Gson.java:358: 4 Unique Traces, 56 Redundant Traces, 4 Preserved, 7 Remained 
Iterator_HasNext @ HeuristicTool.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ IsolationForest.java:51: 1 Unique Traces, 400459 Redundant Traces, 1 Preserved, 9999 Remained 
Iterator_RemoveOnce @ AlphabetTreeNode.java:54: 3 Unique Traces, 3190 Redundant Traces, 1 Preserved, 166 Remained 
