Appendable_ThreadSafe @ AllBadStrings.java:35: 1 Unique Traces, 4203 Redundant Traces, 1 Preserved, 242 Remained 
Appendable_ThreadSafe @ AscendingBigIntListTest.java:76: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingBigIntListTest.java:78: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingBigIntListTest.java:83: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingBigIntListTest.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingIntegerAsStringListTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerAsStringListTest.java:61: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ AscendingIntegerAsStringListTest.java:64: 1 Unique Traces, 96 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:55: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:83: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingIntegerListTest.java:133: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:55: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:63: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:83: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AscendingLongListTest.java:133: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BadLongStringsGeneratorTest.java:121: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BadLongStringsGeneratorTest.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BadStrings.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BadStrings.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BadStrings.java:119: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BadStrings.java:122: 1 Unique Traces, 245 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ BigBoundaryNumbersGeneratorTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigBoundaryNumbersGeneratorTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntFromRangesAsStringTest.java:65: 1 Unique Traces, 299 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ BigIntFromRangesAsStringTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessor.java:143: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:86: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:111: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:160: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:180: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:185: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:211: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:216: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:225: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:260: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BigIntegerRequestProcessorTest.java:283: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:123: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:157: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BugTests.java:168: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Combinator.java:63: 1 Unique Traces, 179 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ CombinatorTest.java:47: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ CombinatorTest.java:68: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CombinatorTest.java:92: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:46: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:49: 1 Unique Traces, 3749 Redundant Traces, 1 Preserved, 178 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:55: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:59: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:75: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ComposedFuzzingHeuristicTest.java:80: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ComputableListImplTest.java:58: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ComputableListImplTest.java:61: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ForeignDigitsOperatorTest.java:158: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Appendable_ThreadSafe @ FuzzedValue.java:237: 1 Unique Traces, 4209 Redundant Traces, 1 Preserved, 210 Remained 
Appendable_ThreadSafe @ IntegerFromRangesTests.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerFromRangesTests.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerFromRangesTests.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerFromRangesTests.java:124: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessor.java:141: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:79: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ IntegerRequestProcessorTest.java:191: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
