Appendable_ThreadSafe @ Pair.java:49: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 9 Remained 
Arrays_SortBeforeBinarySearch @ AhoCorasickDoubleArrayTrie.java:714: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:743: 302 Unique Traces, 846857 Redundant Traces, 18 Preserved, 42201 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:775: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:792: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:804: 301 Unique Traces, 497812 Redundant Traces, 301 Preserved, 497812 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:830: 7 Unique Traces, 497692 Redundant Traces, 1 Preserved, 24545 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:945: 303 Unique Traces, 497811 Redundant Traces, 19 Preserved, 24664 Remained 
Collection_UnsafeIterator @ AhoCorasickDoubleArrayTrie.java:950: 303 Unique Traces, 497811 Redundant Traces, 18 Preserved, 24983 Remained 
Collection_UnsafeIterator @ FinalSeg.java:185: 3 Unique Traces, 70007 Redundant Traces, 3 Preserved, 3397 Remained 
Collection_UnsafeIterator @ FinalSeg.java:188: 8 Unique Traces, 53999 Redundant Traces, 4 Preserved, 2664 Remained 
Collection_UnsafeIterator @ Jaba.java:55: 11 Unique Traces, 84993 Redundant Traces, 7 Preserved, 4254 Remained 
Collection_UnsafeIterator @ Jaba.java:67: 3 Unique Traces, 47010 Redundant Traces, 2 Preserved, 2268 Remained 
Collection_UnsafeIterator @ JabaCutTest.java:138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SentenceDAG.java:34: 4 Unique Traces, 1112167 Redundant Traces, 1 Preserved, 39999 Remained 
Collection_UnsafeIterator @ State.java:120: 4 Unique Traces, 698086 Redundant Traces, 1 Preserved, 10000 Remained 
