Appendable_ThreadSafe @ JaroWinklerSimilarityTest.java:71: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ JaroWinklerSimilarityTest.java:92: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ TrieMap.java:202: 1 Unique Traces, 25471354 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ TrieMap.java:231: 34 Unique Traces, 1057240 Redundant Traces, 6 Preserved, 52820 Remained 
Appendable_ThreadSafe @ TrieSet.java:405: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarity.java:362: 3 Unique Traces, 13 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:63: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:64: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:68: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:70: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:84: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:85: 2 Unique Traces, 13 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:89: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ JaroWinklerSimilarityTest.java:90: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ TrieMap.java:67: 14 Unique Traces, 58 Redundant Traces, 14 Preserved, 58 Remained 
Collection_UnsafeIterator @ TrieMap.java:147: 1557 Unique Traces, 2637528 Redundant Traces, 89 Preserved, 131948 Remained 
Collection_UnsafeIterator @ TrieMap.java:168: 4232 Unique Traces, 17535151 Redundant Traces, 4232 Preserved, 17535151 Remained 
Collection_UnsafeIterator @ TrieMap.java:308: 4 Unique Traces, 12 Redundant Traces, 4 Preserved, 12 Remained 
Collection_UnsafeIterator @ TrieMap.java:312: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ TrieSet.java:144: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ TrieSet.java:244: 8 Unique Traces, 7 Redundant Traces, 7 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ JaroWinklerSimilarityTest.java:110: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TrieMap.java:75: 3 Unique Traces, 16 Redundant Traces, 3 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ TrieMap.java:246: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TrieMap.java:250: 78 Unique Traces, 1057199 Redundant Traces, 14 Preserved, 19986 Remained 
Collections_SortBeforeBinarySearch @ TrieMap.java:274: 161 Unique Traces, 110062 Redundant Traces, 16 Preserved, 5512 Remained 
Collections_SortBeforeBinarySearch @ TrieSet.java:322: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
