Appendable_ThreadSafe @ CommonAssertions.java:21: 1 Unique Traces, 3129628 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ CommonAssertions.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommonAssertions.java:36: 1 Unique Traces, 4651 Redundant Traces, 1 Preserved, 258 Remained 
Appendable_ThreadSafe @ CommonAssertions.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Graphs.java:178: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Graphs.java:342: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ObjReader.java:228: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriter.java:112: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:22: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:23: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PlyWriterTest.java:167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ BoundingBox.java:64: 35 Unique Traces, 22 Redundant Traces, 35 Preserved, 22 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:70: 2 Unique Traces, 32 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:82: 4 Unique Traces, 4 Redundant Traces, 4 Preserved, 4 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:89: 3 Unique Traces, 19 Redundant Traces, 2 Preserved, 19 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:118: 4 Unique Traces, 5 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:123: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:126: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:138: 3 Unique Traces, 22 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:144: 3 Unique Traces, 22 Redundant Traces, 3 Preserved, 22 Remained 
Collection_UnsafeIterator @ CardinalInterpolator.java:165: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ CardinalInterpolatorTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DataUtil.java:45: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ DataUtil.java:46: 9 Unique Traces, 14 Redundant Traces, 9 Preserved, 12 Remained 
Collection_UnsafeIterator @ DirectedGraph.java:64: 4 Unique Traces, 5 Redundant Traces, 4 Preserved, 5 Remained 
Collection_UnsafeIterator @ EntityGraph.java:76: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ Graphs.java:30: 36 Unique Traces, 11 Redundant Traces, 36 Preserved, 11 Remained 
Collection_UnsafeIterator @ Graphs.java:41: 57 Unique Traces, 11287 Redundant Traces, 9 Preserved, 579 Remained 
Collection_UnsafeIterator @ Graphs.java:66: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ Graphs.java:74: 4 Unique Traces, 15 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ Graphs.java:85: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ Graphs.java:88: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ Graphs.java:93: 7 Unique Traces, 298 Redundant Traces, 4 Preserved, 29 Remained 
Collection_UnsafeIterator @ Graphs.java:136: 36 Unique Traces, 266 Redundant Traces, 36 Preserved, 266 Remained 
Collection_UnsafeIterator @ Graphs.java:163: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ Graphs.java:166: 3 Unique Traces, 14 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ Graphs.java:207: 10 Unique Traces, 0 Redundant Traces, 10 Preserved, 0 Remained 
Collection_UnsafeIterator @ Graphs.java:313: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ GraphsTest.java:433: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ GraphsTest.java:434: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ HoppeEstimatorTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ HoppeEstimatorTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LevelSetSkeleton.java:265: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LevelSetSkeleton.java:307: 24 Unique Traces, 5 Redundant Traces, 24 Preserved, 5 Remained 
Collection_UnsafeIterator @ LevelSetSkeleton.java:335: 28 Unique Traces, 6 Redundant Traces, 28 Preserved, 6 Remained 
Collection_UnsafeIterator @ LocalOptimalProjectorTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Normalizer.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Normalizer.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ObjData.java:41: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Octree.java:146: 24 Unique Traces, 11501 Redundant Traces, 4 Preserved, 578 Remained 
Collection_UnsafeIterator @ Octree.java:149: 88 Unique Traces, 58336 Redundant Traces, 87 Preserved, 58336 Remained 
Collection_UnsafeIterator @ Octree.java:213: 181 Unique Traces, 348 Redundant Traces, 181 Preserved, 348 Remained 
Collection_UnsafeIterator @ Octree.java:256: 40 Unique Traces, 3398 Redundant Traces, 10 Preserved, 225 Remained 
Collection_UnsafeIterator @ Octree.java:265: 40 Unique Traces, 3398 Redundant Traces, 4 Preserved, 251 Remained 
Collection_UnsafeIterator @ OctreeTest.java:65: 246 Unique Traces, 73 Redundant Traces, 245 Preserved, 73 Remained 
Collection_UnsafeIterator @ OctreeTest.java:214: 489 Unique Traces, 2638 Redundant Traces, 489 Preserved, 2638 Remained 
Collection_UnsafeIterator @ OctreeVoxelizer.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ OctreeVoxelizerTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ OffReader.java:225: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ PcuCommonUtil.java:11: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PlyReader.java:243: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ PlyWriter.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PlyWriter.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ PlyWriter.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PlyWriter.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PlyWriter.java:150: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ PlyWriter.java:158: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ PlyWriter.java:166: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ PlyWriter.java:183: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ PlyWriter.java:190: 2 Unique Traces, 2005 Redundant Traces, 2 Preserved, 104 Remained 
Collection_UnsafeIterator @ PlyWriter.java:301: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ PlyWriter.java:308: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Collection_UnsafeIterator @ PlyWriter.java:562: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ PlyWriter.java:565: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ ShortestPath.java:23: 6 Unique Traces, 1 Redundant Traces, 6 Preserved, 1 Remained 
Collection_UnsafeIterator @ ShortestPath.java:35: 8522 Unique Traces, 1029 Redundant Traces, 8521 Preserved, 1029 Remained 
Collection_UnsafeIterator @ ShortestPath.java:49: 8523 Unique Traces, 1026 Redundant Traces, 8522 Preserved, 1026 Remained 
Collection_UnsafeIterator @ ShortestPathTest.java:117: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ UndirectedGraph.java:64: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ WeightedLOProjectorTest.java:56: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WeightedLocallyOptimalProjector.java:95: 1 Unique Traces, 149 Redundant Traces, 1 Preserved, 53 Remained 
Collection_UnsafeIterator @ WeightedLocallyOptimalProjector.java:126: 1 Unique Traces, 149 Redundant Traces, 1 Preserved, 40 Remained 
Collection_UnsafeIterator @ WeightedLocallyOptimalProjector.java:157: 2 Unique Traces, 153 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsynchronizedAddAll @ Graphs.java:79: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ LocallyOptimalProjector.java:152: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsynchronizedAddAll @ Octree.java:181: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 10 Remained 
Collection_UnsynchronizedAddAll @ Octree.java:266: 1 Unique Traces, 64648 Redundant Traces, 1 Preserved, 3333 Remained 
Collection_UnsynchronizedAddAll @ OffReader.java:246: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ OffReader.java:252: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsynchronizedAddAll @ OffReader.java:258: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ OffReader.java:264: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ PcuReflectUtil.java:29: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 26 Remained 
Collection_UnsynchronizedAddAll @ ShortestPath.java:46: 1 Unique Traces, 9542 Redundant Traces, 1 Preserved, 528 Remained 
Collections_SortBeforeBinarySearch @ CardinalInterpolator.java:111: 2 Unique Traces, 21 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ CardinalInterpolator.java:127: 5 Unique Traces, 3 Redundant Traces, 5 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ DataUtil.java:15: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ DataUtil.java:40: 9 Unique Traces, 14 Redundant Traces, 8 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ DataUtil.java:43: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ EVD.java:54: 1 Unique Traces, 1149 Redundant Traces, 1 Preserved, 71 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:35: 58 Unique Traces, 17 Redundant Traces, 58 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:40: 41 Unique Traces, 34 Redundant Traces, 41 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:44: 6 Unique Traces, 39 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:70: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:88: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:168: 4 Unique Traces, 13 Redundant Traces, 3 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:215: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:254: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:294: 6 Unique Traces, 5 Redundant Traces, 6 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:302: 4 Unique Traces, 9 Redundant Traces, 4 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:303: 6 Unique Traces, 17 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:315: 2 Unique Traces, 4776 Redundant Traces, 1 Preserved, 269 Remained 
Collections_SortBeforeBinarySearch @ Graphs.java:316: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GraphsTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GraphsTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GraphsTest.java:408: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HoppeEstimator.java:40: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ HoppeEstimatorTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:105: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:170: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:182: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:186: 7 Unique Traces, 4762 Redundant Traces, 5 Preserved, 264 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:274: 2 Unique Traces, 20 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:284: 2 Unique Traces, 20 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:409: 21 Unique Traces, 1 Redundant Traces, 5 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevelSetSkeleton.java:410: 21 Unique Traces, 1 Redundant Traces, 21 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LocalOptimalProjectorTest.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LocalOptimalProjectorTest.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LocallyOptimalProjector.java:69: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LocallyOptimalProjector.java:148: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ NormalizerTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ObjData.java:41: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ObjReader.java:168: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Octree.java:181: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 41 Remained 
Collections_SortBeforeBinarySearch @ Octree.java:221: 226 Unique Traces, 3196 Redundant Traces, 14 Preserved, 171 Remained 
Collections_SortBeforeBinarySearch @ Octree.java:290: 497 Unique Traces, 2941 Redundant Traces, 121 Preserved, 365 Remained 
Collections_SortBeforeBinarySearch @ Octree.java:312: 56 Unique Traces, 14608 Redundant Traces, 3 Preserved, 747 Remained 
Collections_SortBeforeBinarySearch @ Octree.java:318: 40 Unique Traces, 3398 Redundant Traces, 9 Preserved, 280 Remained 
Collections_SortBeforeBinarySearch @ OctreeTest.java:24: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OctreeVoxelizer.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:134: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:145: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:156: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:188: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:246: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:252: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:258: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ OffReader.java:264: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
