Appendable_ThreadSafe @ AClassDefineSingleTest.java:25: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AddMethodInvokeTest.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ApproveOperator.java:15: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ApproveOperator.java:18: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArgumentTypeMismatchTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArrayTest.java:55: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ ArrayTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BeanExample.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BeanExample.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BeanExample.java:71: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BeanExample.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BeanExample.java:80: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BitTest.java:51: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ CheckSyntaxTest.java:27: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CheckSyntaxTest.java:44: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CompileMemoryTest.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ConfigUtils.java:74: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ConfigUtils.java:93: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ConfigUtils.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConfigurationLoader.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ConfigurationLoader.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustBean.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomClassLoaderTest.java:18: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomClassLoaderTest.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomClassLoaderTest.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CustomClassLoaderTest.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DateFormatTest.java:53: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DateFormatTest.java:61: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DefaultExpressResourceLoader.java:12: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DefaultExpressResourceLoader.java:21: 8 Unique Traces, 5 Redundant Traces, 8 Preserved, 5 Remained 
Appendable_ThreadSafe @ DefineInstructionFactory.java:25: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Appendable_ThreadSafe @ DefineInstructionFactory.java:32: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DefineInstructionFactory.java:33: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ DefineInstructionFactory.java:36: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DefineTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
