Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:475: 1 Unique Traces, 137 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ FsmParse.java:540: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ FsmParse.java:543: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ FsmParse.java:579: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ FsmParse.java:582: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ FsmParse.java:635: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ FsmParse.java:665: 1 Unique Traces, 574 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ FsmParse.java:667: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:682: 1 Unique Traces, 145 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ FsmParse.java:685: 1 Unique Traces, 181 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:35: 1 Unique Traces, 1354 Redundant Traces, 1 Preserved, 97 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:62: 1 Unique Traces, 277 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:65: 1 Unique Traces, 1246 Redundant Traces, 1 Preserved, 67 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:87: 1 Unique Traces, 86 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:99: 1 Unique Traces, 4795 Redundant Traces, 1 Preserved, 253 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:108: 1 Unique Traces, 900 Redundant Traces, 1 Preserved, 78 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:165: 1 Unique Traces, 284 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:168: 1 Unique Traces, 896 Redundant Traces, 1 Preserved, 63 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:171: 1 Unique Traces, 455 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:174: 1 Unique Traces, 5326 Redundant Traces, 1 Preserved, 314 Remained 
