Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:394: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:401: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:404: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:410: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:475: 1 Unique Traces, 4907 Redundant Traces, 1 Preserved, 252 Remained 
Appendable_ThreadSafe @ FsmParse.java:40: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FsmParse.java:65: 1 Unique Traces, 185 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ FsmParse.java:401: 1 Unique Traces, 220 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ FsmParse.java:404: 1 Unique Traces, 569 Redundant Traces, 1 Preserved, 68 Remained 
Appendable_ThreadSafe @ FsmParse.java:407: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ FsmParse.java:410: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:413: 1 Unique Traces, 156 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ FsmParse.java:416: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ FsmParse.java:419: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ FsmParse.java:425: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FsmParse.java:540: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 493 Remained 
Appendable_ThreadSafe @ FsmParse.java:543: 1 Unique Traces, 10000 Redundant Traces, 1 Preserved, 514 Remained 
Appendable_ThreadSafe @ FsmParse.java:546: 1 Unique Traces, 2690 Redundant Traces, 1 Preserved, 128 Remained 
Appendable_ThreadSafe @ FsmParse.java:549: 1 Unique Traces, 206 Redundant Traces, 1 Preserved, 47 Remained 
Appendable_ThreadSafe @ FsmParse.java:552: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:555: 1 Unique Traces, 893 Redundant Traces, 1 Preserved, 83 Remained 
Appendable_ThreadSafe @ FsmParse.java:558: 1 Unique Traces, 8454 Redundant Traces, 1 Preserved, 469 Remained 
Appendable_ThreadSafe @ FsmParse.java:561: 1 Unique Traces, 30 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ FsmParse.java:564: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FsmParse.java:567: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 33 Remained 
Appendable_ThreadSafe @ FsmParse.java:570: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ FsmParse.java:573: 1 Unique Traces, 340 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ FsmParse.java:576: 1 Unique Traces, 1745 Redundant Traces, 1 Preserved, 98 Remained 
Appendable_ThreadSafe @ FsmParse.java:579: 1 Unique Traces, 1620 Redundant Traces, 1 Preserved, 92 Remained 
Appendable_ThreadSafe @ FsmParse.java:582: 1 Unique Traces, 2975 Redundant Traces, 1 Preserved, 163 Remained 
Appendable_ThreadSafe @ FsmParse.java:585: 1 Unique Traces, 6838 Redundant Traces, 1 Preserved, 330 Remained 
Appendable_ThreadSafe @ FsmParse.java:591: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ FsmParse.java:594: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:607: 1 Unique Traces, 279 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ FsmParse.java:610: 1 Unique Traces, 185 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ FsmParse.java:616: 1 Unique Traces, 91 Redundant Traces, 1 Preserved, 81 Remained 
Appendable_ThreadSafe @ FsmParse.java:619: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ FsmParse.java:621: 1 Unique Traces, 578 Redundant Traces, 1 Preserved, 44 Remained 
