Appendable_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 16816011 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ FramesetListTest.java:36: 6 Unique Traces, 17685 Redundant Traces, 1 Preserved, 875 Remained 
Collection_UnsafeIterator @ FramesetListTest.java:55: 6 Unique Traces, 17685 Redundant Traces, 2 Preserved, 895 Remained 
Collection_UnsafeIterator @ PredicateListTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PredicateListTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PredicateListTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PredicateListTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ XmlElement.java:64: 3 Unique Traces, 865163 Redundant Traces, 2 Preserved, 29999 Remained 
Collections_SortBeforeBinarySearch @ Frameset.java:33: 5 Unique Traces, 70443 Redundant Traces, 2 Preserved, 3487 Remained 
Collections_SortBeforeBinarySearch @ FramesetList.java:26: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ Predicate.java:35: 14 Unique Traces, 43261 Redundant Traces, 4 Preserved, 2269 Remained 
Collections_SortBeforeBinarySearch @ RoleSet.java:47: 7 Unique Traces, 53343 Redundant Traces, 4 Preserved, 2641 Remained 
Collections_SortBeforeBinarySearch @ XmlElement.java:89: 3 Unique Traces, 421902 Redundant Traces, 1 Preserved, 21073 Remained 
Iterator_HasNext @ FramesetListTest.java:36: 6 Unique Traces, 17685 Redundant Traces, 3 Preserved, 862 Remained 
Iterator_HasNext @ FramesetListTest.java:55: 6 Unique Traces, 17685 Redundant Traces, 2 Preserved, 874 Remained 
Iterator_HasNext @ PredicateListTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PredicateListTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PredicateListTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PredicateListTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ XmlElement.java:64: 3 Unique Traces, 865163 Redundant Traces, 1 Preserved, 30000 Remained 
Iterator_RemoveOnce @ FramesetListTest.java:36: 5 Unique Traces, 17607 Redundant Traces, 2 Preserved, 857 Remained 
Iterator_RemoveOnce @ FramesetListTest.java:55: 5 Unique Traces, 17607 Redundant Traces, 3 Preserved, 889 Remained 
Iterator_RemoveOnce @ PredicateListTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PredicateListTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PredicateListTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ PredicateListTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ XmlElement.java:64: 3 Unique Traces, 865163 Redundant Traces, 2 Preserved, 29999 Remained 
Map_CollectionViewAdd @ PredicateList.java:91: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_UnsafeIterator @ PredicateListTest.java:26: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ PredicateListTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ PredicateListTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ PredicateListTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 16816011 Redundant Traces, 1 Preserved, 9999 Remained 
