Appendable_ThreadSafe @ SentiSynSet.java:65: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ SentiSynSet.java:66: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ SentiSynSet.java:67: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 31664802 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsafeIterator @ SentiLiteralNet.java:78: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SentiNet.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SentiLiteralNet.java:80: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SentiNet.java:99: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Console_CloseWriter @ SentiSynSetTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SentiLiteralNet.java:78: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SentiNet.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SentiLiteralNet.java:78: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ SentiNet.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SentiLiteralNet.java:78: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SentiNet.java:97: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ SentiLiteralNet.java:78: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SentiNet.java:97: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Scanner_SearchAfterClose @ SentiSynSetTest.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SentiSynSet.java:65: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ SentiSynSet.java:66: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ SentiSynSet.java:67: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 31664802 Redundant Traces, 1 Preserved, 10000 Remained 
Writer_ManipulateAfterClose @ SentiSynSetTest.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
