Appendable_ThreadSafe @ FsmMorphologicalAnalyzer.java:475: 1 Unique Traces, 15512 Redundant Traces, 1 Preserved, 814 Remained 
Appendable_ThreadSafe @ FsmParse.java:40: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ FsmParse.java:404: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ FsmParse.java:407: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ FsmParse.java:419: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ FsmParse.java:540: 1 Unique Traces, 6512 Redundant Traces, 1 Preserved, 327 Remained 
Appendable_ThreadSafe @ FsmParse.java:543: 1 Unique Traces, 3676 Redundant Traces, 1 Preserved, 169 Remained 
Appendable_ThreadSafe @ FsmParse.java:546: 1 Unique Traces, 181 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ FsmParse.java:558: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:576: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ FsmParse.java:579: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ FsmParse.java:582: 1 Unique Traces, 158 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FsmParse.java:585: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ FsmParse.java:591: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ FsmParse.java:607: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ FsmParse.java:610: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ FsmParse.java:621: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ FsmParse.java:632: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ FsmParse.java:635: 1 Unique Traces, 1661 Redundant Traces, 1 Preserved, 68 Remained 
Appendable_ThreadSafe @ FsmParse.java:665: 1 Unique Traces, 35236 Redundant Traces, 1 Preserved, 1843 Remained 
Appendable_ThreadSafe @ FsmParse.java:667: 1 Unique Traces, 5738 Redundant Traces, 1 Preserved, 288 Remained 
Appendable_ThreadSafe @ FsmParse.java:682: 1 Unique Traces, 4293 Redundant Traces, 1 Preserved, 223 Remained 
Appendable_ThreadSafe @ FsmParse.java:685: 1 Unique Traces, 6143 Redundant Traces, 1 Preserved, 323 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:19: 1 Unique Traces, 87 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:24: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:35: 1 Unique Traces, 214172 Redundant Traces, 1 Preserved, 10000 Remained 
