Appendable_ThreadSafe @ WordNet.java:574: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WordNet.java:577: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ WordNet.java:583: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WordNet.java:584: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WordNet.java:586: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ WordNet.java:587: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ WordNet.java:589: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ WordNet.java:590: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ XmlDocument.java:68: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 545 Remained 
Collection_UnsafeIterator @ Synonym.java:43: 21 Unique Traces, 7833 Redundant Traces, 2 Preserved, 421 Remained 
Collection_UnsafeIterator @ WordNet.java:461: 37 Unique Traces, 5578 Redundant Traces, 5 Preserved, 322 Remained 
Collection_UnsafeIterator @ WordNet.java:492: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ WordNet.java:564: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Collection_UnsafeIterator @ WordNet.java:1062: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1070: 17 Unique Traces, 4063 Redundant Traces, 2 Preserved, 202 Remained 
Collection_UnsafeIterator @ WordNet.java:1086: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ WordNet.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1189: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1219: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNet.java:1241: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:67: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:80: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:82: 17 Unique Traces, 3948 Redundant Traces, 2 Preserved, 222 Remained 
Collection_UnsafeIterator @ WordNetTest.java:97: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:100: 16 Unique Traces, 3918 Redundant Traces, 4 Preserved, 225 Remained 
Collection_UnsafeIterator @ WordNetTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:122: 12 Unique Traces, 4088 Redundant Traces, 1 Preserved, 233 Remained 
Collection_UnsafeIterator @ WordNetTest.java:247: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:392: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ WordNetTest.java:406: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ XmlElement.java:64: 3 Unique Traces, 940 Redundant Traces, 3 Preserved, 76 Remained 
Collections_SortBeforeBinarySearch @ Literal.java:121: 11 Unique Traces, 3088 Redundant Traces, 1 Preserved, 160 Remained 
Collections_SortBeforeBinarySearch @ SynSet.java:384: 215 Unique Traces, 1850772 Redundant Traces, 215 Preserved, 1850772 Remained 
Collections_SortBeforeBinarySearch @ Synonym.java:24: 32 Unique Traces, 130224 Redundant Traces, 4 Preserved, 6493 Remained 
Collections_SortBeforeBinarySearch @ Synonym.java:46: 12 Unique Traces, 94 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ Synonym.java:52: 36 Unique Traces, 1483 Redundant Traces, 7 Preserved, 118 Remained 
Collections_SortBeforeBinarySearch @ Synonym.java:58: 1 Unique Traces, 6324 Redundant Traces, 1 Preserved, 373 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:112: 15 Unique Traces, 29987 Redundant Traces, 3 Preserved, 1522 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:229: 1 Unique Traces, 295 Redundant Traces, 1 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:302: 53 Unique Traces, 129947 Redundant Traces, 6 Preserved, 6509 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:494: 8 Unique Traces, 0 Redundant Traces, 8 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:559: 11 Unique Traces, 10 Redundant Traces, 11 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ WordNet.java:1479: 17 Unique Traces, 21 Redundant Traces, 17 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ XmlElement.java:89: 1 Unique Traces, 292 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ Synonym.java:43: 20 Unique Traces, 7790 Redundant Traces, 3 Preserved, 434 Remained 
Iterator_HasNext @ WordNet.java:461: 30 Unique Traces, 5538 Redundant Traces, 7 Preserved, 302 Remained 
Iterator_HasNext @ WordNet.java:492: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ WordNet.java:564: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_HasNext @ WordNet.java:1062: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1070: 15 Unique Traces, 4099 Redundant Traces, 2 Preserved, 202 Remained 
Iterator_HasNext @ WordNet.java:1086: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ WordNet.java:1138: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ WordNet.java:1167: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
