Appendable_ThreadSafe @ AbstractAgiCommand.java:92: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Appendable_ThreadSafe @ AbstractAgiServer.java:77: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ AbstractMappingStrategy.java:118: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ AbstractMappingStrategy.java:124: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ActionBuilderImpl.java:78: 11 Unique Traces, 4 Redundant Traces, 11 Preserved, 4 Remained 
Appendable_ThreadSafe @ ActionBuilderImpl.java:301: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ ActionBuilderImpl.java:303: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ActionBuilderImpl.java:332: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ ActionBuilderImplTest.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AgiReplyImpl.java:211: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Appendable_ThreadSafe @ AgiReplyImpl.java:213: 4 Unique Traces, 1 Redundant Traces, 4 Preserved, 1 Remained 
Appendable_ThreadSafe @ AgiReplyImpl.java:283: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ AgiRequestImpl.java:172: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AnnotationAppender.java:679: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ AnnotationAppender.java:703: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ AnnotationAppender.java:726: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ AppenderModelHandler.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AppenderModelHandler.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AppenderRefModelHandler.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsteriskQueueImpl.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AsyncEventPump.java:49: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ AsyncEventPump.java:106: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ AuxiliaryType.java:166: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ BridgeCommand.java:42: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BridgeCommand.java:45: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BridgeCommand.java:47: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CallerId.java:94: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Appendable_ThreadSafe @ CallerId.java:103: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ClassFileVersion.java:545: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
