Appendable_ThreadSafe @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:133: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:143: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ HtmlBlockSelectorMarkupHandlerTest.java:132: 1 Unique Traces, 77 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ HtmlBlockSelectorMarkupHandlerTest.java:142: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:133: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:143: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ HtmlCDATAContentElement.java:68: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ HtmlCDATAContentElement.java:69: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:141: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:151: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:133: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 66 Remained 
Appendable_ThreadSafe @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:143: 1 Unique Traces, 118 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:549: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:576: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:585: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:649: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:661: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:727: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:733: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:781: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ MarkupEventProcessorHandler.java:793: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ MarkupParser.java:366: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:1882: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:1988: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 124260 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:2020: 13 Unique Traces, 2473971 Redundant Traces, 1 Preserved, 123648 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:2064: 13 Unique Traces, 2473971 Redundant Traces, 3 Preserved, 123774 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:2150: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ MarkupParserTest.java:2223: 25 Unique Traces, 2228199 Redundant Traces, 4 Preserved, 111273 Remained 
Appendable_ThreadSafe @ MarkupSelectorAndItem.java:90: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MarkupSelectorItem.java:127: 23 Unique Traces, 105 Redundant Traces, 5 Preserved, 37 Remained 
Appendable_ThreadSafe @ MarkupSelectorItem.java:129: 9 Unique Traces, 33 Redundant Traces, 9 Preserved, 33 Remained 
Appendable_ThreadSafe @ MarkupSelectorItem.java:189: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ MarkupSelectorItem.java:191: 1 Unique Traces, 64 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ MarkupSelectorItems.java:130: 1 Unique Traces, 302 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ MarkupSelectorItems.java:413: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ MarkupSelectorItems.java:446: 1 Unique Traces, 272 Redundant Traces, 1 Preserved, 48 Remained 
Appendable_ThreadSafe @ MarkupSelectorItemsTest.java:162: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ MarkupSelectorOrItem.java:89: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ MarkupTraceEvent.java:121: 15 Unique Traces, 65093617 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ ParseException.java:97: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ ParseException.java:112: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ ParseSelection.java:185: 3 Unique Traces, 491 Redundant Traces, 2 Preserved, 22 Remained 
Appendable_ThreadSafe @ ParseSelection.java:263: 2 Unique Traces, 518 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:299: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:324: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:350: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:379: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:445: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:546: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:588: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ParsingDocTypeMarkupUtil.java:600: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingXmlDeclarationMarkupUtil.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingXmlDeclarationMarkupUtil.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingXmlDeclarationMarkupUtil.java:236: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingXmlDeclarationMarkupUtil.java:263: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ParsingXmlDeclarationMarkupUtil.java:291: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StringUtils.java:4051: 26 Unique Traces, 373 Redundant Traces, 26 Preserved, 373 Remained 
Appendable_ThreadSafe @ StringUtils.java:4097: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ XmlBlockSelectorMarkupHandlerTest.java:133: 1 Unique Traces, 72 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ XmlBlockSelectorMarkupHandlerTest.java:143: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 32 Remained 
Collection_UnsafeIterator @ DOMWriter.java:158: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ DOMWriter.java:191: 3 Unique Traces, 18 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ HtmlBlockSelectorMarkupHandlerTest.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
