Appendable_ThreadSafe @ BPlusTree.java:669: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ BPlusTree.java:681: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ BPlusTree.java:693: 3 Unique Traces, 47 Redundant Traces, 2 Preserved, 9 Remained 
Appendable_ThreadSafe @ BPlusTreeFileTest.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BPlusTreeFileTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BPlusTreeFileTest.java:147: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BPlusTreeTest.java:85: 1 Unique Traces, 6992999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ BPlusTreeTest.java:88: 1 Unique Traces, 6992999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ BPlusTreeTest.java:103: 1 Unique Traces, 7006999 Redundant Traces, 1 Preserved, 10001 Remained 
Appendable_ThreadSafe @ BPlusTreeTest.java:106: 1 Unique Traces, 7006999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ LargeMappedByteBuffer.java:73: 1 Unique Traces, 26856 Redundant Traces, 1 Preserved, 1357 Remained 
Appendable_ThreadSafe @ LargeMappedByteBuffer.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LeafFile.java:84: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LeafFile.java:96: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LeafMemory.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafFile.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafFile.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafMemory.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NonLeafMemory.java:88: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ Testing.java:9: 1 Unique Traces, 604 Redundant Traces, 1 Preserved, 23 Remained 
Arrays_SortBeforeBinarySearch @ LeafMemory.java:21: 1 Unique Traces, 3133085 Redundant Traces, 1 Preserved, 9999 Remained 
Arrays_SortBeforeBinarySearch @ LeafMemory.java:22: 1 Unique Traces, 3133085 Redundant Traces, 1 Preserved, 10000 Remained 
Arrays_SortBeforeBinarySearch @ NonLeafMemory.java:23: 1 Unique Traces, 1105306 Redundant Traces, 1 Preserved, 9999 Remained 
Arrays_SortBeforeBinarySearch @ Permutations.java:38: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ BPlusTreeTest.java:450: 1 Unique Traces, 959 Redundant Traces, 1 Preserved, 45 Remained 
Collection_UnsafeIterator @ LargeMappedByteBuffer.java:304: 1 Unique Traces, 1418 Redundant Traces, 1 Preserved, 81 Remained 
Collection_UnsafeIterator @ LargeMappedByteBuffer.java:311: 12 Unique Traces, 1100 Redundant Traces, 12 Preserved, 1100 Remained 
Collections_SortBeforeBinarySearch @ BPlusTree.java:582: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ BPlusTreeFileTest.java:274: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ BPlusTreeTest.java:446: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ LargeMappedByteBuffer.java:69: 15 Unique Traces, 1495 Redundant Traces, 15 Preserved, 1495 Remained 
Collections_SortBeforeBinarySearch @ LargeMappedByteBuffer.java:314: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Node.java:22: 2 Unique Traces, 68 Redundant Traces, 2 Preserved, 31 Remained 
Collections_SortBeforeBinarySearch @ NodeWrapper.java:30: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ Stream.java:624: 3 Unique Traces, 965 Redundant Traces, 2 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ Stream.java:1089: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Stream.java:1094: 1 Unique Traces, 951 Redundant Traces, 1 Preserved, 70 Remained 
