Appendable_ThreadSafe @ BTreeIndexTest.java:56: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 68 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:57: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 58 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:61: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:66: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 52 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:69: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:71: 1 Unique Traces, 989 Redundant Traces, 1 Preserved, 61 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:91: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:92: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 66 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:96: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:106: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 53 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:109: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:111: 1 Unique Traces, 989 Redundant Traces, 1 Preserved, 46 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:215: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:238: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:255: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:264: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 65 Remained 
Appendable_ThreadSafe @ BTreeIndexTest.java:265: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 62 Remained 
Appendable_ThreadSafe @ BTreeTest.java:48: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ BTreeTest.java:54: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 58 Remained 
Appendable_ThreadSafe @ BTreeTest.java:93: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ BTreeTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BTreeTest.java:118: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 73 Remained 
Appendable_ThreadSafe @ BTreeTest.java:119: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 56 Remained 
Appendable_ThreadSafe @ DateTimeFormatter.java:43: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ BTreeIndex.java:421: 100 Unique Traces, 36458 Redundant Traces, 7 Preserved, 1827 Remained 
Collection_UnsafeIterator @ BTreeIndexTest.java:204: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ BTreeIndexTest.java:260: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ BTreeTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FastMultiByteArrayOutputStream.java:70: 3 Unique Traces, 989 Redundant Traces, 2 Preserved, 51 Remained 
Collection_UnsafeIterator @ PurgeOptObservableLongLRUMap.java:73: 3 Unique Traces, 45051 Redundant Traces, 1 Preserved, 2197 Remained 
Collections_SortBeforeBinarySearch @ AppenderAttachableImpl.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BTreeIndex.java:336: 1008 Unique Traces, 35553 Redundant Traces, 50 Preserved, 1798 Remained 
Collections_SortBeforeBinarySearch @ BTreeIndex.java:403: 101 Unique Traces, 6788 Redundant Traces, 9 Preserved, 335 Remained 
Collections_SortBeforeBinarySearch @ FastMultiByteArrayOutputStream.java:214: 3 Unique Traces, 989 Redundant Traces, 2 Preserved, 65 Remained 
Collections_SortBeforeBinarySearch @ ProvisionNode.java:27: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ PurgeOptObservableLongLRUMap.java:69: 3 Unique Traces, 45051 Redundant Traces, 1 Preserved, 2149 Remained 
InputStream_ManipulateAfterClose @ PropertyConfigurator.java:572: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ PropertyConfigurator.java:572: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BTree.java:471: 5 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ BTreeIndex.java:421: 100 Unique Traces, 36458 Redundant Traces, 4 Preserved, 1825 Remained 
Iterator_HasNext @ BTreeIndex.java:573: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_HasNext @ BTreeIndexTest.java:204: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ BTreeIndexTest.java:260: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ BTreeTest.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FastMultiByteArrayOutputStream.java:70: 3 Unique Traces, 989 Redundant Traces, 2 Preserved, 72 Remained 
Iterator_HasNext @ PurgeOptObservableLongLRUMap.java:73: 3 Unique Traces, 45051 Redundant Traces, 1 Preserved, 2118 Remained 
Iterator_RemoveOnce @ BTree.java:471: 5 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ BTreeIndex.java:421: 100 Unique Traces, 36458 Redundant Traces, 5 Preserved, 1839 Remained 
Iterator_RemoveOnce @ BTreeIndex.java:573: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Iterator_RemoveOnce @ BTreeIndexTest.java:204: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ BTreeIndexTest.java:260: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
