Appendable_ThreadSafe @ AcornByte.java:106: 1 Unique Traces, 8276 Redundant Traces, 1 Preserved, 417 Remained 
Appendable_ThreadSafe @ AcornByte.java:148: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ AcornByte.java:203: 1 Unique Traces, 883 Redundant Traces, 1 Preserved, 54 Remained 
Appendable_ThreadSafe @ AcornByte.java:207: 1 Unique Traces, 869 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ AudioFile.java:95: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BBCBasicVariableData.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BBCBasicVariableData.java:133: 1 Unique Traces, 100 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:159: 4 Unique Traces, 74 Redundant Traces, 2 Preserved, 19 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:197: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:199: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:200: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 63 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:201: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:202: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:203: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ BBCFileBlock.java:204: 1 Unique Traces, 63 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:78: 1 Unique Traces, 582 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:212: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:214: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:230: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:287: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BBCFileStateMachine.java:290: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:116: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:123: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:124: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:125: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:127: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BBCFileTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ BBCTapeFile.java:86: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 12 Remained 
Appendable_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:80: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:237: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ CommodoreBlockRecognisingStateMachine.java:372: 1 Unique Traces, 36 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ CommodoreByteFrame.java:112: 1 Unique Traces, 6216 Redundant Traces, 1 Preserved, 349 Remained 
Appendable_ThreadSafe @ CommodoreByteFrame.java:205: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ CommodoreFileBuilder.java:121: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CommodoreFileTest.java:134: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CommodoreFileTest.java:141: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ CommodoreFileTest.java:142: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CommodoreFileTest.java:143: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CommodoreFileTest.java:145: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ CommodorePulseTest.java:66: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommodorePulseTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CommodoreTapeFile.java:104: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ FileBuilder.java:125: 4 Unique Traces, 10 Redundant Traces, 4 Preserved, 10 Remained 
Appendable_ThreadSafe @ GenericTapeFile.java:102: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
