Appendable_ThreadSafe @ ArboTest.java:67: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ ArboTest.java:77: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ArborescenceTest.java:85: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ ArborescenceTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ArborescenceTest.java:111: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BitsetIntVarImpl.java:661: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ BoolNotView.java:41: 1 Unique Traces, 15778 Redundant Traces, 1 Preserved, 765 Remained 
Appendable_ThreadSafe @ Constraint.java:168: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ DirectedGraph.java:96: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Appendable_ThreadSafe @ DirectedGraphVar.java:65: 1 Unique Traces, 577335 Redundant Traces, 1 Preserved, 9999 Remained 
Appendable_ThreadSafe @ GraphTest.java:34: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ GraphTest.java:38: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ GraphTest.java:66: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ GraphVar.java:301: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Appendable_ThreadSafe @ GraphVar.java:409: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ GraphVar.java:413: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ GraphVar.java:418: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ GraphVar.java:423: 1 Unique Traces, 58 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ IGraphConstraintFactory.java:1085: 1 Unique Traces, 643 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ IGraphConstraintFactory.java:1137: 1 Unique Traces, 613 Redundant Traces, 1 Preserved, 44 Remained 
