Appendable_ThreadSafe @ CharTreeSegmenter.java:119: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ CharTreeSegmenter.java:249: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CharTreeSegmenter.java:251: 2 Unique Traces, 12 Redundant Traces, 2 Preserved, 5 Remained 
Appendable_ThreadSafe @ CharTreeSegmenter.java:273: 5 Unique Traces, 117 Redundant Traces, 3 Preserved, 16 Remained 
Appendable_ThreadSafe @ ContextInitializer.java:172: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ StringBuilderWriter.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ TTLLLayout.java:43: 1 Unique Traces, 7803 Redundant Traces, 1 Preserved, 390 Remained 
Appendable_ThreadSafe @ TestKeywords.java:42: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ TestPOS.java:82: 1 Unique Traces, 4401 Redundant Traces, 1 Preserved, 268 Remained 
Appendable_ThreadSafe @ TestPOS.java:93: 1 Unique Traces, 689 Redundant Traces, 1 Preserved, 56 Remained 
Appendable_ThreadSafe @ TestSentence.java:33: 1 Unique Traces, 2649 Redundant Traces, 1 Preserved, 164 Remained 
Appendable_ThreadSafe @ TestSummarization.java:38: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:51: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ CyclicBuffer.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ MultiKey.java:164: 1 Unique Traces, 8063659 Redundant Traces, 1 Preserved, 9999 Remained 
CharSequence_NotInMap @ CharsetFileCorpus.java:42: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ AbstractNPathGenerator.java:54: 7 Unique Traces, 1115 Redundant Traces, 4 Preserved, 92 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:75: 1 Unique Traces, 363 Redundant Traces, 1 Preserved, 28 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:83: 1 Unique Traces, 363 Redundant Traces, 1 Preserved, 52 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:102: 10 Unique Traces, 1582 Redundant Traces, 3 Preserved, 85 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:109: 2 Unique Traces, 1590 Redundant Traces, 1 Preserved, 84 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:117: 2 Unique Traces, 1590 Redundant Traces, 1 Preserved, 82 Remained 
Collection_UnsafeIterator @ AbstractRecognitor.java:146: 35 Unique Traces, 20941 Redundant Traces, 5 Preserved, 1026 Remained 
Collection_UnsafeIterator @ AsianNameRecognitor.java:49: 34 Unique Traces, 6958 Redundant Traces, 3 Preserved, 358 Remained 
Collection_UnsafeIterator @ BasicStatusManager.java:86: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ BasicTermNatures.java:46: 13 Unique Traces, 26203 Redundant Traces, 8 Preserved, 1400 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:99: 91 Unique Traces, 48853 Redundant Traces, 23 Preserved, 2561 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:121: 5410 Unique Traces, 554836 Redundant Traces, 277 Preserved, 27597 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:122: 13 Unique Traces, 711661 Redundant Traces, 4 Preserved, 35960 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:146: 2 Unique Traces, 48942 Redundant Traces, 2 Preserved, 2516 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:147: 1 Unique Traces, 39017 Redundant Traces, 1 Preserved, 1928 Remained 
Collection_UnsafeIterator @ BellmanFordShortestPath.java:160: 91 Unique Traces, 48853 Redundant Traces, 10 Preserved, 2410 Remained 
Collection_UnsafeIterator @ CharTreeSegmenter.java:221: 43 Unique Traces, 1079 Redundant Traces, 43 Preserved, 1079 Remained 
Collection_UnsafeIterator @ CharTreeSegmenter.java:222: 43 Unique Traces, 20789 Redundant Traces, 5 Preserved, 1089 Remained 
Collection_UnsafeIterator @ CharsetFileCorpus.java:51: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 13 Remained 
Collection_UnsafeIterator @ CompanyRecognitor.java:34: 34 Unique Traces, 6958 Redundant Traces, 7 Preserved, 361 Remained 
Collection_UnsafeIterator @ CooccurrenceNPathGenerator.java:56: 5 Unique Traces, 20827 Redundant Traces, 3 Preserved, 1122 Remained 
Collection_UnsafeIterator @ CooccurrenceNPathGenerator.java:63: 5 Unique Traces, 20827 Redundant Traces, 4 Preserved, 1133 Remained 
Collection_UnsafeIterator @ CooccurrenceNPathGenerator.java:71: 5 Unique Traces, 20827 Redundant Traces, 3 Preserved, 1069 Remained 
Collection_UnsafeIterator @ CrossComponentIterator.java:119: 1 Unique Traces, 100796 Redundant Traces, 1 Preserved, 5013 Remained 
Collection_UnsafeIterator @ CrossComponentIterator.java:124: 1 Unique Traces, 100796 Redundant Traces, 1 Preserved, 5140 Remained 
Collection_UnsafeIterator @ CrossComponentIterator.java:299: 7 Unique Traces, 1288473 Redundant Traces, 4 Preserved, 64313 Remained 
Collection_UnsafeIterator @ DateTimeRecognitor.java:67: 31 Unique Traces, 6961 Redundant Traces, 3 Preserved, 395 Remained 
Collection_UnsafeIterator @ DateTimeRecognitor.java:131: 1 Unique Traces, 2447 Redundant Traces, 1 Preserved, 140 Remained 
Collection_UnsafeIterator @ DefaultTermGraph.java:164: 37 Unique Traces, 6955 Redundant Traces, 16 Preserved, 395 Remained 
Collection_UnsafeIterator @ DefaultTermGraph.java:173: 35 Unique Traces, 41917 Redundant Traces, 3 Preserved, 2092 Remained 
Collection_UnsafeIterator @ DefaultTermPath.java:112: 5 Unique Traces, 15259 Redundant Traces, 2 Preserved, 799 Remained 
Collection_UnsafeIterator @ DefaultTermPath.java:211: 39 Unique Traces, 41913 Redundant Traces, 8 Preserved, 2099 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:48: 34 Unique Traces, 6958 Redundant Traces, 9 Preserved, 405 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:98: 1 Unique Traces, 15767 Redundant Traces, 1 Preserved, 789 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:138: 1 Unique Traces, 2821 Redundant Traces, 1 Preserved, 151 Remained 
