Appendable_ThreadSafe @ ConsistentHashLoadBalancer.java:42: 1 Unique Traces, 27999999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ LoadBalanceTest.java:23: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 20 Remained 
Collection_UnsafeIterator @ ConsistentHashLoadBalancer.java:39: 2 Unique Traces, 29998 Redundant Traces, 1 Preserved, 1432 Remained 
Collection_UnsafeIterator @ LoadBalanceTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoadBalanceTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoadBalanceTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LoadBalanceTest.java:23: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LoadBalanceTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LoadBalanceTest.java:51: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LoadBalanceTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ConsistentHashLoadBalancer.java:39: 2 Unique Traces, 29998 Redundant Traces, 1 Preserved, 1504 Remained 
Iterator_HasNext @ LoadBalanceTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ LoadBalanceTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ LoadBalanceTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ConsistentHashLoadBalancer.java:39: 2 Unique Traces, 29998 Redundant Traces, 1 Preserved, 1503 Remained 
Iterator_RemoveOnce @ LoadBalanceTest.java:33: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ LoadBalanceTest.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ LoadBalanceTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ ConsistentHashLoadBalancer.java:39: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 506 Remained 
List_UnsynchronizedSubList @ LoadBalanceTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ LoadBalanceTest.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConsistentHashLoadBalancer.java:42: 1 Unique Traces, 27999999 Redundant Traces, 1 Preserved, 10000 Remained 
StringBuilder_ThreadSafe @ LoadBalanceTest.java:23: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 72 Remained 
