Appendable_ThreadSafe @ BeanUtil.java:248: 1 Unique Traces, 170 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ ContextInitializer.java:172: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ ContextSwitchOverHeadTest.java:196: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DataBuilderMeta.java:20: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ DataBuilderMetadataManager.java:94: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DataFlow.java:18: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DataFlowBuilderTest.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultPrettyPrinter.java:243: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExecutionGraph.java:14: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ ExecutionGraphGenerator.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ExecutionGraphGenerator.java:207: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InstantiatingDataBuilderFactory.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InstantiatingDataBuilderFactory.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MultiThreadedDataFlowExecutor.java:250: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MultiThreadedDataFlowExecutor.java:259: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MultiThreadedDataFlowExecutorTest.java:52: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ MultiThreadedDataFlowExecutorTest.java:137: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ SimpleDataFlowExecutor.java:101: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleDataFlowExecutor.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SimpleDataFlowExecutor.java:114: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SingletonImmutableSet.java:102: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ TestBuilderOptional.java:24: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ ArrayIterator.java:17: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:51: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ COWArrayList.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ CyclicBuffer.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ObjectArrays.java:36: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ RegularImmutableSet.java:42: 2 Unique Traces, 336 Redundant Traces, 2 Preserved, 64 Remained 
Arrays_SortBeforeBinarySearch @ RegularImmutableSet.java:43: 1 Unique Traces, 337 Redundant Traces, 1 Preserved, 22 Remained 
CharSequence_NotInMap @ POJOPropertiesCollector.java:1017: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 8 Remained 
CharSequence_NotInMap @ POJOPropertiesCollector.java:1019: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ AnnotatedClassResolver.java:157: 6 Unique Traces, 69 Redundant Traces, 6 Preserved, 17 Remained 
Collection_UnsafeIterator @ AnnotatedFieldCollector.java:46: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Collection_UnsafeIterator @ AnnotatedMethodCollector.java:45: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 29 Remained 
Collection_UnsafeIterator @ AnnotatedMethodCollector.java:90: 7 Unique Traces, 27 Redundant Traces, 7 Preserved, 27 Remained 
Collection_UnsafeIterator @ AnnotatedMethodMap.java:57: 14 Unique Traces, 54 Redundant Traces, 14 Preserved, 54 Remained 
Collection_UnsafeIterator @ AnnotationCollector.java:153: 2 Unique Traces, 44 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ BasicSerializerFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ BasicStatusManager.java:86: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ BeanSerializerFactory.java:589: 3 Unique Traces, 11 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ BeanSerializerFactory.java:695: 4 Unique Traces, 25 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ ClassUtil.java:133: 5 Unique Traces, 90 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ DataBuilderMetadataManager.java:102: 6 Unique Traces, 390 Redundant Traces, 2 Preserved, 32 Remained 
Collection_UnsafeIterator @ DataBuilderMetadataManager.java:110: 6 Unique Traces, 23 Redundant Traces, 6 Preserved, 22 Remained 
Collection_UnsafeIterator @ DataBuilderMetadataManager.java:119: 4 Unique Traces, 62 Redundant Traces, 3 Preserved, 13 Remained 
Collection_UnsafeIterator @ ExecutionGraph.java:36: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ ExecutionGraph.java:38: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ExecutionGraphGenerator.java:96: 13 Unique Traces, 88 Redundant Traces, 6 Preserved, 16 Remained 
Collection_UnsafeIterator @ ExecutionGraphGenerator.java:136: 9 Unique Traces, 747 Redundant Traces, 2 Preserved, 56 Remained 
Collection_UnsafeIterator @ ExecutionGraphGenerator.java:165: 11 Unique Traces, 333 Redundant Traces, 6 Preserved, 39 Remained 
Collection_UnsafeIterator @ FlowTest.java:114: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoggerContext.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoopTest.java:89: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
