Appendable_ThreadSafe @ DictionaryBuilder.java:175: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Appendable_ThreadSafe @ DictionaryImpl.java:219: 1 Unique Traces, 158294 Redundant Traces, 1 Preserved, 8076 Remained 
Appendable_ThreadSafe @ LevenshteinAutomaton.java:117: 1 Unique Traces, 2276542 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ LevenshteinAutomatonTest.java:115: 1 Unique Traces, 999 Redundant Traces, 1 Preserved, 61 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryStateCard.java:124: 5 Unique Traces, 2 Redundant Traces, 5 Preserved, 2 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:112: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:115: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:151: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTest.java:154: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ PerfectHashDictionaryTransCard.java:120: 9 Unique Traces, 4198 Redundant Traces, 8 Preserved, 4198 Remained 
Arrays_SortBeforeBinarySearch @ ImmutableStringObjectMap.java:227: 1 Unique Traces, 52 Redundant Traces, 1 Preserved, 11 Remained 
CharSequence_NotInMap @ ImmutableStringIntMap.java:59: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
CharSequence_NotInMap @ ImmutableStringObjectMap.java:60: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
CharSequence_NotInMap @ ImmutableStringStringMap.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
CharSequence_NotInMap @ MapInterfaceTest.java:1168: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ MapInterfaceTest.java:1197: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CompactIntArrayTest.java:57: 1744 Unique Traces, 2256 Redundant Traces, 1744 Preserved, 2256 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:129: 151 Unique Traces, 1098 Redundant Traces, 26 Preserved, 148 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:184: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:193: 4 Unique Traces, 22 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:241: 7 Unique Traces, 858355 Redundant Traces, 3 Preserved, 42450 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:272: 7 Unique Traces, 858381 Redundant Traces, 3 Preserved, 42952 Remained 
Collection_UnsafeIterator @ DictionaryBuilder.java:310: 333 Unique Traces, 925 Redundant Traces, 63 Preserved, 145 Remained 
Collection_UnsafeIterator @ DictionaryImpl.java:77: 3 Unique Traces, 179 Redundant Traces, 1 Preserved, 90 Remained 
Collection_UnsafeIterator @ DictionaryImpl.java:139: 3 Unique Traces, 87 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ DictionaryTest.java:77: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DictionaryTest.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DictionaryTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DictionaryTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntMap.java:72: 3 Unique Traces, 49 Redundant Traces, 3 Preserved, 48 Remained 
Collection_UnsafeIterator @ ImmutableStringIntMap.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntMap.java:143: 6 Unique Traces, 1035 Redundant Traces, 5 Preserved, 48 Remained 
Collection_UnsafeIterator @ ImmutableStringIntMap.java:303: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:62: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringIntTest.java:75: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
