Appendable_ThreadSafe @ DefaultChannelSelectStrategyTest.java:13: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultChannelSelectStrategyTest.java:14: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultChannelSelectStrategyTest.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultPromise.java:38: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultThreadFactory.java:78: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DefaultThreadFactory.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MessageFormatter.java:197: 5 Unique Traces, 15 Redundant Traces, 3 Preserved, 8 Remained 
Appendable_ThreadSafe @ Native.java:302: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NativeLibraryLoader.java:73: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NativeLibraryLoader.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NativeLibraryLoader.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RingBlockingQueueTest.java:13: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ RingBlockingQueueTest.java:15: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RingBlockingQueueTest.java:19: 1 Unique Traces, 9999999 Redundant Traces, 1 Preserved, 10000 Remained 
Appendable_ThreadSafe @ RingBlockingQueueTest.java:21: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RingBlockingQueueTest.java:29: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ StringTest.java:19: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringTest.java:20: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringTest.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StringUtil.java:21: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
