Appendable_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ AbstractForwardCurve.java:147: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BusinessdayCalendarExcludingTARGETHolidays.java:92: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:69: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:80: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:93: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:94: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:112: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:113: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:126: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:127: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ CalibrationMultiCurveTest.java:136: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:161: 1 Unique Traces, 166 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:578: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:579: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:582: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DiscountCurveInterpolation.java:452: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ ForwardCurveInterpolation.java:407: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ CalibrationMultiCurveTest.java:284: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CurveInterpolation.java:576: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:708: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:715: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibratedCurves.java:716: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibrationMultiCurveTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 32 Unique Traces, 103 Redundant Traces, 10 Preserved, 28 Remained 
Iterator_HasNext @ CalibrationMultiCurveTest.java:284: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ CurveInterpolation.java:576: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CalibrationMultiCurveTest.java:284: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ CurveInterpolation.java:576: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ListIterator_RemoveOnce @ CalibrationMultiCurveTest.java:284: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ AbstractForwardCurve.java:147: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BusinessdayCalendarExcludingTARGETHolidays.java:92: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:69: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:80: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:93: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
