Appendable_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:92: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ StochasticPathwiseLevenbergMarquardt.java:447: 1 Unique Traces, 141 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:46: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:50: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:92: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ StochasticPathwiseLevenbergMarquardtTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ LUDecomposition.java:334: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
