Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 300 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:71: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:79: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 38 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:109: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:114: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:119: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ SwaptionAnalyticApproximationTest.java:123: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 40 Redundant Traces, 40 Preserved, 40 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 300 Redundant Traces, 1 Preserved, 55 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:71: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:79: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 22 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:109: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 57 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:114: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:119: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ SwaptionAnalyticApproximationTest.java:123: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 34 Remained 
