Appendable_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:75: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:137: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:221: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:226: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:227: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:231: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DiscountCurveNelsonSiegelSvensson.java:174: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CapletVolatilitiesParametricCalibrationTest.java:178: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CapletVolatilitiesParametricCalibrationTest.java:179: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CapletVolatilitiesParametricCalibrationTest.java:204: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CapletVolatilitiesParametricCalibrationTest.java:205: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 392 Redundant Traces, 1 Preserved, 39 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 13 Unique Traces, 39 Redundant Traces, 13 Preserved, 39 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:75: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:131: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:137: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:221: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:226: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:227: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ CapletVolatilitiesParametricCalibrationTest.java:231: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DiscountCurveNelsonSiegelSvensson.java:174: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
