Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 152 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:181: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:188: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:198: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:219: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:252: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:256: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:260: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:291: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:333: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:340: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:347: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InterestRateProductTest.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 80 Redundant Traces, 39 Preserved, 80 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ Option.java:277: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SwapWithComponents.java:58: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SwapWithComponents.java:61: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SwapWithComponents.java:69: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ SwaptionWithComponents.java:62: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SwaptionWithComponents.java:65: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SwaptionWithComponents.java:74: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 152 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:181: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:188: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:198: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:219: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:252: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:256: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 27 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:260: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:291: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:333: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:340: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:347: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InterestRateProductTest.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringTokenizer_HasMoreElements @ AbstractBusinessdayCalendar.java:87: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 16 Remained 
