Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 33 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ AsianOption.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 33 Redundant Traces, 3 Preserved, 18 Remained 
Iterator_RemoveOnce @ AsianOption.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 33 Redundant Traces, 2 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelAsianOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
