Appendable_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:179: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:125: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ AnalyticModelDescriptor.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ProductCollection.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SwapLeg.java:153: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ AnalyticModelDescriptor.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ProductCollection.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ProductCollection.java:124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ AnalyticModelDescriptor.java:38: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InterestRateSwapLegDescriptorTest.java:179: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Thread_SetDaemonBeforeStart @ AbstractProductComponent.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 18 Remained 
