Appendable_ThreadSafe @ SwapLegTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:339: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SwapLegTest.java:353: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ProductCollection.java:102: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SwapLeg.java:87: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ ProductCollection.java:102: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ ProductCollection.java:124: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:108: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:166: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:210: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:224: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:293: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:339: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SwapLegTest.java:353: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Thread_SetDaemonBeforeStart @ AbstractProductComponent.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 15 Remained 
