Appendable_ThreadSafe @ DataTableLight.java:202: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ DataTableLight.java:205: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:221: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:222: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:223: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:224: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ SABRVolatilityCubeSharedParametersTest.java:228: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:125: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:126: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ AnalyticModelWithVolatilityCubes.java:57: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
CharSequence_NotInMap @ SwaptionDataLattice.java:306: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 24 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeSharedParametersTest.java:236: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:277: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ SABRVolatilityCubeSharedParametersTest.java:229: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeSharedParametersTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeSharedParametersTest.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeSharedParametersTest.java:151: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeSharedParametersTest.java:152: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeSharedParametersTest.java:199: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
