Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:55: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:60: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:84: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:103: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:108: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:127: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:132: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:151: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:156: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 10 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAD.java:478: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 16 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAD.java:478: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 15 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAD.java:478: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:55: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:60: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:79: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:84: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:103: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:108: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:127: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:132: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:151: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableArithmeticTest.java:156: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
