Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ LIBORIndexTest.java:133: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ LIBORIndexTest.java:162: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ LIBORIndexTest.java:195: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ ProductCollection.java:102: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ LIBORIndexTest.java:153: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 33 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ ProductCollection.java:102: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ProductCollection.java:124: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 16 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ LIBORIndexTest.java:133: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ LIBORIndexTest.java:162: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ LIBORIndexTest.java:195: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 10 Remained 
Thread_SetDaemonBeforeStart @ AbstractProductComponent.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 10 Remained 
