Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NormalizingFunctionTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NormalizingFunctionTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:125: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:126: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
CharSequence_NotInMap @ AnalyticModelWithVolatilityCubes.java:57: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeParallelFactory.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 8 Unique Traces, 269 Redundant Traces, 8 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:280: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:281: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
InputStream_ManipulateAfterClose @ NormalizingFunctionTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
InputStream_MarkAfterClose @ NormalizingFunctionTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:337: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:337: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:277: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NormalizingFunctionTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NormalizingFunctionTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
