Appendable_ThreadSafe @ AbstractMonteCarloProduct.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BlackScholesModel.java:198: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:191: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:224: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:226: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:231: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:232: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:233: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ DeltaHedgedPortfolioWithAADTest.java:234: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ EuropeanOption.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloAssetModel.java:207: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAAD.java:1347: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 857 Redundant Traces, 3 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ BermudanOption.java:231: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ DeltaHedgedPortfolioWithAAD.java:193: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ DeltaHedgedPortfolioWithAAD.java:201: 1 Unique Traces, 197 Redundant Traces, 1 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ DeltaHedgedPortfolioWithAADTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 41 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 6788 Redundant Traces, 1 Preserved, 367 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 204 Redundant Traces, 1 Preserved, 32 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 857 Redundant Traces, 3 Preserved, 66 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 857 Redundant Traces, 1 Preserved, 51 Remained 
StringBuilder_ThreadSafe @ AbstractMonteCarloProduct.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BlackScholesModel.java:198: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
