Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 1639 Redundant Traces, 1 Preserved, 115 Remained 
Appendable_ThreadSafe @ ExposureTest.java:117: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ExposureTest.java:165: 1 Unique Traces, 120 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ ProductCollection.java:102: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 54 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 62 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ ExposureEstimator.java:136: 1 Unique Traces, 156 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 70 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwapLeg.java:87: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ExposureTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ExposureTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ProductCollection.java:102: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 57 Remained 
Iterator_HasNext @ ProductCollection.java:124: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 81 Remained 
Iterator_RemoveOnce @ ExposureTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ExposureTest.java:145: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 50 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 2 Unique Traces, 962 Redundant Traces, 2 Preserved, 55 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 1639 Redundant Traces, 1 Preserved, 95 Remained 
StringBuilder_ThreadSafe @ ExposureTest.java:117: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ ExposureTest.java:165: 1 Unique Traces, 120 Redundant Traces, 1 Preserved, 6 Remained 
Thread_SetDaemonBeforeStart @ AbstractProductComponent.java:48: 1 Unique Traces, 31 Redundant Traces, 1 Preserved, 24 Remained 
