Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 58 Redundant Traces, 3 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ BermudanOption.java:231: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 49 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 58 Redundant Traces, 3 Preserved, 6 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 58 Redundant Traces, 3 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:113: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:117: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelBermudanOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
