Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 150 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ SwaptionNormalTest.java:65: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ SwaptionNormalTest.java:97: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ SwaptionNormalTest.java:109: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ SwaptionNormalTest.java:112: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 26 Remained 
Appendable_ThreadSafe @ SwaptionNormalTest.java:116: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 0 Redundant Traces, 40 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 150 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ SwaptionNormalTest.java:65: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ SwaptionNormalTest.java:97: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 24 Remained 
StringBuilder_ThreadSafe @ SwaptionNormalTest.java:109: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ SwaptionNormalTest.java:112: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ SwaptionNormalTest.java:116: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 16 Remained 
