Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 551 Redundant Traces, 1 Preserved, 31 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:207: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:214: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:219: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:228: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:263: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:279: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:284: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:310: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:324: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:333: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:337: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:342: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:367: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:379: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:389: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:393: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:418: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:448: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:453: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:458: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:462: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 59 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:465: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:471: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:525: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:530: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:535: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:539: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 28 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:544: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:658: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:660: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelMultiCurveValuationTest.java:608: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 43 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 551 Redundant Traces, 1 Preserved, 43 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:207: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 51 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:214: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:219: 1 Unique Traces, 81 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:228: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:263: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:279: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:284: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:310: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 37 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:324: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:333: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 27 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:337: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:342: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:367: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 27 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:379: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:389: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:393: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:418: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:448: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:453: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 6 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:458: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 33 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:462: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 59 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:465: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:471: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:525: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:530: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:535: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:539: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:544: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:658: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelMultiCurveValuationTest.java:660: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
