Appendable_ThreadSafe @ LibraryLoader.java:156: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:185: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:224: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:270: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:272: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ LibraryLoader.java:267: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ShutdownHook_PrematureStart @ LibraryLoader.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ShutdownHook_SystemExit @ LibraryLoader.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ShutdownHook_UnsafeAWTCall @ LibraryLoader.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
ShutdownHook_UnsafeSwingCall @ LibraryLoader.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:156: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:171: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:185: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:224: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:239: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:270: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:272: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:74: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Appendable_ThreadSafe @ LibraryLoader.java:79: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:74: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LibraryLoader.java:79: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Thread_SetDaemonBeforeStart @ LibraryLoader.java:73: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
