Appendable_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DataTableLinear.java:205: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SABRCubeCalibration.java:598: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ SABRCubeCalibrationTest.java:98: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRCubeCalibrationTest.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRCubeCalibrationTest.java:161: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 103 Remained 
Appendable_ThreadSafe @ SABRCubeCalibrationTest.java:174: 1 Unique Traces, 123 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:435: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:437: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:477: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:514: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Arrays_SortBeforeBinarySearch @ ArrayUtils.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ SABRCubeCalibration.java:185: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:256: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:259: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ DataTableBasic.java:261: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ DataTableLight.java:142: 1 Unique Traces, 79 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ DataTableLinear.java:186: 6 Unique Traces, 17 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ DataTableLinear.java:187: 1 Unique Traces, 69 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ SABRCubeCalibration.java:238: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SABRCubeCalibration.java:243: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ SABRCubeCalibration.java:366: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRCubeCalibration.java:373: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
