Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 400 Redundant Traces, 37 Preserved, 400 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 279 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:60: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:86: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:87: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:109: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:110: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:132: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:148: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CrossCurrencyLIBORMarketModelFromModelsTest.java:149: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
