Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 83 Redundant Traces, 3 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 83 Redundant Traces, 3 Preserved, 34 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 83 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:121: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:124: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:126: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:131: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:134: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:135: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionSensitivitiesTest.java:136: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
