Appendable_ThreadSafe @ CalibratedModel.java:250: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ HestonDaxCalibrationTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HestonDaxCalibrationTest.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HestonDaxCalibrationTest.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ArrayUtils.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ HestonDaxCalibrationTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibratedModel.java:181: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CalibratedModel.java:212: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Iterator_HasNext @ HestonDaxCalibrationTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ HestonDaxCalibrationTest.java:177: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CalibratedModel.java:250: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ HestonDaxCalibrationTest.java:162: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ HestonDaxCalibrationTest.java:164: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ HestonDaxCalibrationTest.java:165: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
