Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Arrays_SortBeforeBinarySearch @ ArrayUtils.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 73 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:267: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:268: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 73 Redundant Traces, 2 Preserved, 6 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 73 Redundant Traces, 3 Preserved, 50 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:91: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:93: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:94: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ MonteCarloBlackScholesModelDigitalOptionAADRegressionSensitivitiesTest.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
