Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:149: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:150: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:260: 1 Unique Traces, 461 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:441: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:442: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:445: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:446: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:554: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:615: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelCalibrationTest.java:634: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ LIBORMarketModelCalibrationTest.java:402: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ LIBORMarketModelCalibrationTest.java:626: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ AbstractLIBORCovarianceModelParametric.java:408: 1 Unique Traces, 1342 Redundant Traces, 1 Preserved, 80 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:259: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:260: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:261: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:262: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelCalibrationTest.java:582: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:611: 1 Unique Traces, 26 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 30 Unique Traces, 96 Redundant Traces, 18 Preserved, 20 Remained 
Iterator_HasNext @ LIBORMarketModelCalibrationTest.java:626: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ LIBORMarketModelCalibrationTest.java:626: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:149: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:150: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:260: 1 Unique Traces, 461 Redundant Traces, 1 Preserved, 39 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:441: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:442: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:445: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:446: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:554: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:615: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationTest.java:634: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
