Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ NelsonSiegelSvenssonCalibrationTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ NelsonSiegelSvenssonCalibrationTest.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 33 Unique Traces, 9 Redundant Traces, 14 Preserved, 6 Remained 
Iterator_HasNext @ NelsonSiegelSvenssonCalibrationTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ NelsonSiegelSvenssonCalibrationTest.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:61: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:99: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ NelsonSiegelSvenssonCalibrationTest.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringTokenizer_HasMoreElements @ AbstractBusinessdayCalendar.java:87: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 34 Remained 
