Appendable_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ AbstractForwardCurve.java:164: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:119: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:174: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:190: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:231: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CalibrationTest.java:246: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:550: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:551: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 21 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:554: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ DiscountCurveInterpolation.java:495: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:121: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ForwardCurveInterpolation.java:466: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 11 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:245: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 26 Remained 
CharSequence_NotInMap @ AnalyticModelFromCurvesAndVols.java:246: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 21 Remained 
Collection_UnsafeIterator @ AnalyticModelFromCurvesAndVols.java:258: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 37 Remained 
Collection_UnsafeIterator @ CurveInterpolation.java:513: 1 Unique Traces, 344 Redundant Traces, 1 Preserved, 17 Remained 
Collection_UnsafeIterator @ CurveInterpolation.java:548: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:86: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:96: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:124: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ CalibrationTest.java:159: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CalibrationTest.java:218: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:444: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:450: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:515: 1 Unique Traces, 344 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:517: 2 Unique Traces, 343 Redundant Traces, 1 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ StochasticPathwiseLevenbergMarquardt.java:447: 2 Unique Traces, 58 Redundant Traces, 2 Preserved, 10 Remained 
Iterator_HasNext @ AnalyticModelFromCurvesAndVols.java:258: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ CurveInterpolation.java:513: 1 Unique Traces, 344 Redundant Traces, 1 Preserved, 23 Remained 
Iterator_HasNext @ CurveInterpolation.java:548: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ ParameterAggregation.java:86: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ ParameterAggregation.java:96: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ ParameterAggregation.java:124: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_RemoveOnce @ AnalyticModelFromCurvesAndVols.java:258: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 70 Remained 
Iterator_RemoveOnce @ CurveInterpolation.java:513: 1 Unique Traces, 344 Redundant Traces, 1 Preserved, 54 Remained 
Iterator_RemoveOnce @ CurveInterpolation.java:548: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:86: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:96: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:124: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 27 Remained 
Map_CollectionViewAdd @ AnalyticModelFromCurvesAndVols.java:258: 1 Unique Traces, 347 Redundant Traces, 1 Preserved, 28 Remained 
Map_UnsafeIterator @ AnalyticModelFromCurvesAndVols.java:258: 2 Unique Traces, 694 Redundant Traces, 2 Preserved, 80 Remained 
StringBuilder_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ AbstractForwardCurve.java:164: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:119: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:174: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:190: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:231: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CalibrationTest.java:246: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:550: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 28 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:551: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:554: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ DiscountCurveInterpolation.java:495: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:121: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ ForwardCurveInterpolation.java:466: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromDoubleArray.java:1500: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 35 Remained 
