Appendable_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 497 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 50 Remained 
Appendable_ThreadSafe @ DataTableBasic.java:257: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ DataTableBasic.java:260: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Appendable_ThreadSafe @ DataTableLinear.java:205: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 14 Remained 
Appendable_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 248 Redundant Traces, 1 Preserved, 25 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:435: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:437: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:477: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibration.java:514: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:92: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SABRShiftedSmileCalibrationTest.java:154: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 8 Remained 
