Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:516: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:639: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:640: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:641: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:642: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:643: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:644: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 14 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableAADPerformanceTest.java:536: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 13700 Redundant Traces, 1 Preserved, 674 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ BermudanOption.java:231: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 4823 Redundant Traces, 1 Preserved, 264 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 1262 Redundant Traces, 1 Preserved, 85 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAADPerformanceTest.java:525: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Iterator_HasNext @ AsianOption.java:79: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 13700 Redundant Traces, 1 Preserved, 752 Remained 
Iterator_RemoveOnce @ AsianOption.java:79: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 13700 Redundant Traces, 1 Preserved, 723 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:516: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:639: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:640: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:641: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 10 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:642: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:643: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADPerformanceTest.java:644: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 5 Remained 
