Appendable_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 308 Redundant Traces, 1 Preserved, 32 Remained 
Appendable_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:112: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:113: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:286: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 15 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:293: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:297: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:305: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:309: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:313: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 34 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:322: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:323: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:395: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:399: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:403: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:407: 1 Unique Traces, 113 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:416: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:417: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:441: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:468: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:473: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:494: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:498: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:502: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:514: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:515: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:538: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:572: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:576: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:582: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 11 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:586: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:595: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:596: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:619: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:660: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:664: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:670: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:674: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:683: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:684: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:710: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:734: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:739: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:749: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:753: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:757: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:766: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:767: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:809: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:827: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:830: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:834: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:843: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:844: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:883: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:886: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:890: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:915: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:918: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ HullWhiteModelTest.java:922: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ HullWhiteModel.java:183: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ ProductCollection.java:102: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 49 Remained 
Collection_UnsafeIterator @ ProductCollection.java:124: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ BermudanSwaption.java:221: 1 Unique Traces, 299 Redundant Traces, 1 Preserved, 44 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ ProductCollection.java:118: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 50 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 3 Unique Traces, 226 Redundant Traces, 2 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ SwapLeg.java:87: 3 Unique Traces, 226 Redundant Traces, 2 Preserved, 21 Remained 
Iterator_HasNext @ HullWhiteModel.java:183: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ ProductCollection.java:102: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 34 Remained 
Iterator_HasNext @ ProductCollection.java:124: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 26 Remained 
Iterator_RemoveOnce @ HullWhiteModel.java:183: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_RemoveOnce @ ProductCollection.java:102: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 32 Remained 
Iterator_RemoveOnce @ ProductCollection.java:124: 3 Unique Traces, 455 Redundant Traces, 2 Preserved, 18 Remained 
Map_CollectionViewAdd @ HullWhiteModel.java:183: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Map_UnsafeIterator @ HullWhiteModel.java:183: 2 Unique Traces, 16 Redundant Traces, 2 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 308 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:112: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:113: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:286: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:293: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:297: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 25 Remained 
StringBuilder_ThreadSafe @ HullWhiteModelTest.java:305: 1 Unique Traces, 40 Redundant Traces, 1 Preserved, 40 Remained 
