Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:202: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:237: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:257: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 57 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:261: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:438: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:511: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 7 Remained 
CharSequence_NotInMap @ MonteCarloAssetModel.java:122: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ TimeDiscretizationFromArray.java:345: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:263: 1 Unique Traces, 749 Redundant Traces, 1 Preserved, 50 Remained 
Collections_SortBeforeBinarySearch @ TimeDiscretizationFromArray.java:303: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ InhomogenousBachelierModelMonteCarloValuationTest.java:227: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ InhomogenousBachelierModelMonteCarloValuationTest.java:227: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:202: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:237: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:254: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:257: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:261: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:438: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ InhomogenousBachelierModelMonteCarloValuationTest.java:511: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 6 Remained 
