Appendable_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:120: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:127: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:166: 1 Unique Traces, 959 Redundant Traces, 1 Preserved, 67 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:176: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:234: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:235: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ BrownianMotionTest.java:237: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
ByteArrayOutputStream_FlushBeforeRetrieve @ BrownianMotionTest.java:272: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:120: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:127: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:166: 1 Unique Traces, 959 Redundant Traces, 1 Preserved, 80 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:176: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:234: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:235: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ BrownianMotionTest.java:237: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
