Appendable_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableAADFactory.java:125: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableADFactory.java:48: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTest.java:300: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTest.java:301: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTest.java:480: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RandomVariableDifferentiableTest.java:481: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:172: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:211: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:248: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:298: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:341: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Arrays_SortBeforeBinarySearch @ RandomVariableDifferentiableTest.java:417: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 10315 Redundant Traces, 2 Preserved, 496 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAD.java:478: 3 Unique Traces, 10315 Redundant Traces, 2 Preserved, 475 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:131: 1 Unique Traces, 97 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:115: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:121: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:126: 1 Unique Traces, 97 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 10315 Redundant Traces, 2 Preserved, 528 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAD.java:478: 3 Unique Traces, 10315 Redundant Traces, 2 Preserved, 510 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 10315 Redundant Traces, 1 Preserved, 544 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAD.java:478: 3 Unique Traces, 10315 Redundant Traces, 2 Preserved, 519 Remained 
Map_CollectionViewAdd @ RandomVariableDifferentiableTest.java:170: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ RandomVariableDifferentiableTest.java:209: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ RandomVariableDifferentiableTest.java:246: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
