Appendable_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ CDSTest.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:183: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CDSTest.java:190: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CDSTest.java:226: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CDSTest.java:241: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:242: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CDSTest.java:277: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ CDSTest.java:285: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CDSTest.java:292: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:293: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ CDSTest.java:300: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:161: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 7 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:578: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 6 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:579: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ CurveInterpolation.java:582: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ DiscountCurveInterpolation.java:452: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ CurveInterpolation.java:576: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CDSTest.java:130: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CDSTest.java:137: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CDSTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CDSTest.java:163: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:351: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Iterator_HasNext @ CurveInterpolation.java:576: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ CurveInterpolation.java:576: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ AbstractCurve.java:83: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:183: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:190: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:226: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:241: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:242: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:277: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:285: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:292: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ CDSTest.java:293: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
